Biscutella laevigata
Dianthus seguieri
Elodea canadensis
Epilobium roseum
Erysimum cheiranthoides
Euphorbia dulcis
Euphorbia verrucosa
Euphrasia rostkoviana
Filago minima
Forsythia suspensa
Gagea pratensis
Gagea villosa
Genista germanica
Genista sagittalis
Gentiana verna
Gentianopsis ciliata
Globularia vulgaris
Helleborus foetidus
Helleborus viridis
Herniaria glabra
Holosteum umbellatum
Hydrocharis morsus-ranae
Iris sibirica
Jacobaea erucifolia
Knautia dipsacifolia
Lactuca serriola
Lamium maculatum
Lathyrus aphaca
Lemna gibba
Lemna trisulca
Leucojum aestivum
Lunaria rediviva
Malva alcea
Medicago falcata
Mercurialis annua
Muscari neglectum
Myriophyllum spicatum
Neslia paniculata
Nuphar pumila
Ononis spinosa
Ophrys apifera
Ophrys fuciflora
Ophrys insectifera
Ophrys sphegodes
Orchis pallens
Ornithogalum umbellatum
Orobanche minor
Orobanche ramosa
Oxalis corniculata
Papaver argemone
Persicaria hydropiper
Peucedanum oreoselinum
Polygala chamaebuxus
Polygala comosa
Portulaca oleracea
Potamogeton crispus
Potamogeton natans
Potentilla alba
Potentilla sterilis
Prenanthes purpurea
Pulmonaria officinalis
Pulsatilla alpina
Ranunculus arvensis
Ranunculus fluitans
Ranunculus lanuginosus
Ranunculus montanus
Raphanus raphanistrum
Rhinanthus alectorolophus
Rhododendron hirsutum
Ribes petraeum
Rosa arvensis
Rosa villosa
Rumex alpinus
Rumex conglomeratus
Rumex obtusifolius
Saxifraga paniculata
Scheuchzeria palustris
Scilla bifolia
Scutellaria minor
Sedum sexangulare
Senecio ovatus
Serratula tinctoria
Silaum silaus
Silene viscaria
Soldanella carpatica
Spirodela polyrrhiza
Stachys germanica
Stachys recta
Thesium pyrenaicum
Thlaspi perfoliatum
Trifolium resupinatum
Turritis glabra
Valerianella locusta
Verbascum densiflorum
Verbascum lychnitis
Verbascum phoeniceum
Veronica anagallis-aquatica
Veronica austriaca
Veronica triphyllos
