Actaea spicata
Adoxa moschatellina
Aegonychon purpurocaeruleum
Aegopodium podagraria
Aethusa cynapium
Alchemilla vulgaris
Alisma plantago-aquatica
Allium angulosum
Alyssum alyssoides
Amelanchier ovalis
Anacamptis morio
Andromeda polifolia
Angelica archangelica
Angelica sylvestris
Antennaria dioica
Anthemis arvensis
Anthericum liliago
Anthericum ramosum
Anthyllis vulneraria
Aphanes arvensis
Arabis alpina
Arabis hirsuta
Arenaria serpyllifolia
Armeria maritima
Artemisia vulgaris
Aruncus dioicus
Aster amellus
Astragalus glycyphyllos
Astrantia major
Bidens tripartita
Biscutella laevigata
Blitum bonus-henricus
Bryonia dioica
Buddleja davidii
Buglossoides arvensis
Buphthalmum salicifolium
Calluna vulgaris
Caltha palustris
Camelina sativa
Campanula glomerata
Campanula patula
Campanula persicifolia
Campanula rapunculoides
Carlina acaulis
Centaurium erythraea
Cephalanthera damasonium
Cephalanthera rubra
Cerastium arvense
Cerastium fontanum
Cerastium semidecandrum
Chamerion angustifolium
Chimaphila umbellata
Chrysosplenium alternifolium
Circaea alpina
Circaea lutetiana
Cirsium acaule
Cirsium oleraceum
Cirsium palustre
Clematis alpina
Clinopodium acinos
Comarum palustre
Consolida regalis
Corydalis cava
Corydalis solida
Cotoneaster integerrimus
Crataegus laevigata
Crepis biennis
Crepis capillaris
Crepis paludosa
Crocus vernus
Cruciata laevipes
Cypripedium calceolus
Cytisus nigricans
Dactylorhiza incarnata
Dactylorhiza maculata
Dactylorhiza majalis
Daphne cneorum
Descurainia sophia
Dianthus carthusianorum
Dianthus deltoides
Dianthus gratianopolitanus
Dianthus seguieri
Dianthus superbus
Dictamnus albus
Draba aizoides
Drosera anglica
Drosera rotundifolia
Empetrum nigrum
Epilobium parviflorum
Epilobium roseum
Epipactis palustris
Erica tetralix
Draba verna
Eupatorium cannabinum
Euphorbia cyparissias
Euphorbia palustris
Euphorbia verrucosa
Filago minima
Filipendula vulgaris
Forsythia suspensa
Fragaria moschata
Fragaria vesca
Fragaria viridis
Fritillaria meleagris
Gagea lutea
Gagea pratensis
Gagea villosa
Galeopsis tetrahit
Galinsoga parviflora
Galinsoga quadriradiata
Galium aparine
Galium palustre
Genista germanica
Genista pilosa
Genista sagittalis
Gentiana asclepiadea
Gentiana pneumonanthe
Gentianopsis ciliata
Geranium dissectum
Geranium palustre
Geranium phaeum
Geranium sanguineum
Geranium sylvaticum
Geum rivale
Glechoma hederacea
Gymnadenia conopsea
Gypsophila muralis
Herniaria glabra
Hesperis matronalis
Hieracium murorum
Hippuris vulgaris
Hydrocharis morsus-ranae
Hydrocotyle vulgaris
Hylotelephium telephium
Hypericum calycinum
Hypericum hirsutum
Hypericum humifusum
Hypericum maculatum
Hypericum montanum
Hypericum pulchrum
Hypericum tetrapterum
Impatiens glandulifera
Impatiens noli-tangere
Impatiens parviflora
Iris sibirica
Jacobaea erucifolia
Jasione montana
Knautia arvensis
Knautia dipsacifolia
Laburnum anagyroides
Lapsana communis
Lathyrus linifolius
Lathyrus sylvestris
Lathyrus tuberosus
Lathyrus vernus
Leontodon hispidus
Leucojum aestivum
Leucojum vernum
Linaria vulgaris
Linum catharticum
Lonicera xylosteum
Lunaria rediviva
Lychnis flos-cuculi
Anchusa arvensis
Lycopus europaeus
Lysimachia europaea
Lysimachia nummularia
Lysimachia punctata
Lysimachia thyrsiflora
Lysimachia vulgaris
Lythrum salicaria
Maianthemum bifolium
Matricaria discoidea
Melampyrum arvense
Melampyrum pratense
Melampyrum sylvaticum
Moehringia trinervia
Moneses uniflora
Monotropa hypopitys
Muscari botryoides
Muscari neglectum
Myosotis arvensis
Myosotis sylvatica
Myosoton aquaticum
Myriophyllum spicatum
Neottia nidus-avis
Neottia ovata
Neslia paniculata
Nuphar pumila
Nymphaea alba
Oenanthe aquatica
Oenothera parviflora
Ophrys fuciflora
Ophrys insectifera
Orchis militaris
Orchis pallens
Orthilia secunda
Paris quadrifolia
Parnassia palustris
Pedicularis palustris
Pedicularis sylvatica
Persicaria lapathifolia
Persicaria maculosa
Petasites albus
Petasites hybridus
Peucedanum oreoselinum
Peucedanum palustre
Phyteuma spicatum
Pimpinella major
Pimpinella saxifraga
Pinguicula alpina
Pinguicula vulgaris
Platanthera bifolia
Platanthera chlorantha
Polygala amara
Polygala chamaebuxus
Polygala comosa
Potamogeton crispus
Potamogeton natans
Potentilla alba
Potentilla argentea
Potentilla pusilla
Potentilla sterilis
Prenanthes purpurea
Primula elatior
Primula farinosa
Primula veris
Prunella grandiflora
Prunella vulgaris
Prunus padus
Pulsatilla alpina
Pulsatilla patens
Pulsatilla pratensis
Pulsatilla vernalis
Pulsatilla vulgaris
Pyrola media
Pyrola minor
Pyrola rotundifolia
Ranunculus acris
Ranunculus auricomus
Ranunculus flammula
Ranunculus lanuginosus
Ranunculus lingua
Ranunculus montanus
Ranunculus sceleratus
Ranunculus trichophyllus
Rhinanthus alectorolophus
Rhinanthus angustifolius
Rhododendron ferrugineum
Rhododendron hirsutum
Rhododendron tomentosum
Robinia pseudoacacia
Rorippa amphibia
Rorippa palustris
Rorippa sylvestris
Rubus caesius
Rubus plicatus
Rubus saxatilis
Rumex alpinus
Sagina procumbens
Salicornia europaea
Salvia pratensis
Saponaria officinalis
Saxifraga granulata
Saxifraga paniculata
Scabiosa columbaria
Scheuchzeria palustris
Scleranthus annuus
Scorzoneroides autumnalis
Scutellaria galericulata
Scutellaria minor
Sedum sexangulare
Jacobaea vulgaris
Senecio ovatus
Senecio viscosus
Serratula tinctoria
Sherardia arvensis
Silaum silaus
Silene dioica
Silene viscaria
Solanum dulcamara
Soldanella carpatica
Solidago canadensis
Solidago virgaurea
Sorbus aucuparia
Spergula arvensis
Spirodela polyrrhiza
Stachys germanica
Stachys officinalis
Stachys palustris
Stachys recta
Stachys sylvatica
Stellaria alsine
Stellaria graminea
Stellaria holostea
Stellaria nemorum
Succisa pratensis
Tanacetum vulgare
Teesdalia nudicaulis
Telekia speciosa
Teucrium chamaedrys
Thalictrum aquilegiifolium
Thalictrum flavum
Thlaspi arvense
Thlaspi perfoliatum
Tilia cordata
Tilia platyphyllos
Tragopogon pratensis
Trifolium medium
Trifolium montanum
Tripleurospermum inodorum
Trollius europaeus
Turritis glabra
Tussilago farfara
Typha angustifolia
Ulex europaeus
Utricularia vulgaris
Valeriana dioica
Veratrum album
Verbascum densiflorum
Verbascum nigrum
Verbascum phoeniceum
Veronica anagallis-aquatica
Veronica arvensis
Veronica austriaca
Veronica triphyllos
Viola biflora
Viola canina
Viola hirta
Viola odorata
Viola palustris
Viola reichenbachiana
Viola tricolor
Crocosmia aurea
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Calyptocarpus vialis
Tulipa sylvestris
Leontopodium nivale
Eranthis hyemalis
Oxalis violacea
Oxalis stricta
Geranium carolinianum
Oenothera speciosa
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Pseudofumaria lutea
Monarda citriodora
Callirhoe involucrata
Ruellia caroliniensis
Mimosa strigillosa
Trachelospermum jasminoides
Castilleja indivisa
Eustoma exaltatum
Rudbeckia hirta
Liatris punctata
Melampodium leucanthum
Sisyrinchium angustifolium
Helianthus maximiliani
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Opuntia aciculata
Tradescantia virginiana
Physostegia virginiana
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Teucrium cubense
Liatris squarrosa
Bidens frondosa
Ambrosia trifida
Chelone lyonii
Anaphalis margaritacea
Arisaema triphyllum
Artemisia tridentata
Asarum canadense
Moricandia arvensis
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Cornus canadensis
Cornus florida
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Cypripedium reginae
Dicentra cucullaria
Epifagus virginiana
Epigaea repens
Conoclinium coelestinum
Fragaria virginiana
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Hamamelis virginiana
Heuchera sanguinea
Hibiscus moscheutos
Hypericum frondosum
Impatiens pallida
Iris versicolor
Lewisia rediviva
Lilium grayi
Linum medium
Berberis aquifolium
Mitchella repens
Monarda media
Nymphaea odorata
Parthenocissus quinquefolia
Pedicularis canadensis
Phoradendron leucarpum
Plantago rugelii
Polygala lutea
Prunus serotina
Rubus odoratus
Sabatia angularis
Salix discolor
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Veronica serpyllifolia
Amaranthus hybridus
Rhodiola rosea
