Aegonychon purpurocaeruleum
Andromeda polifolia
Aruncus dioicus
Biscutella laevigata
Buphthalmum salicifolium
Calla palustris
Cirsium acaule
Cirsium palustre
Crepis capillaris
Cytisus nigricans
Cytisus scoparius
Dactylorhiza majalis
Daphne striata
Dianthus gratianopolitanus
Dianthus seguieri
Digitalis lutea
Drosera anglica
Erica tetralix
Euphorbia verrucosa
Gagea villosa
Gentianopsis ciliata
Gnaphalium sylvaticum
Helleborus foetidus
Helleborus viridis
Hieracium murorum
Hydrocotyle vulgaris
Hylotelephium telephium
Hypericum humifusum
Hypericum montanum
Hypericum pulchrum
Knautia dipsacifolia
Leontodon hispidus
Lepidium draba
Lonicera periclymenum
Lysimachia europaea
Maianthemum bifolium
Matricaria discoidea
Nuphar pumila
Oenothera parviflora
Ophrys fuciflora
Orobanche ramosa
Papaver argemone
Pedicularis sylvatica
Peucedanum oreoselinum
Phyteuma spicatum
Pinguicula alpina
Pinguicula vulgaris
Polygala amara
Polygala chamaebuxus
Potentilla pusilla
Potentilla sterilis
Pulsatilla alpina
Pulsatilla patens
Rhododendron hirsutum
Rorippa palustris
Rubus plicatus
Saxifraga granulata
Scheuchzeria palustris
Scutellaria minor
Senecio ovatus
Silene latifolia
Stellaria alsine
Teesdalia nudicaulis
Thesium pyrenaicum
Thlaspi perfoliatum
Turritis glabra
Valeriana dioica
Verbascum thapsus
Crocosmia aurea
Argemone mexicana
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Gaillardia pulchella
Calyptocarpus vialis
Tulipa sylvestris
Oxalis violacea
Oxalis stricta
Geranium carolinianum
Oenothera speciosa
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Jacaranda mimosifolia
Monarda citriodora
Callirhoe involucrata
Ruellia caroliniensis
Coreopsis lanceolata
Mimosa strigillosa
Trachelospermum jasminoides
Castilleja indivisa
Liatris punctata
Melampodium leucanthum
Sisyrinchium angustifolium
Argemone albiflora
Plectocephalus americanus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Tradescantia virginiana
Physostegia virginiana
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Sagittaria latifolia
Sagittaria platyphylla
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Solanum carolinense
Teucrium cubense
Liatris squarrosa
Chelone lyonii
Anaphalis margaritacea
Artemisia tridentata
Asarum canadense
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Cypripedium reginae
Dicentra cucullaria
Epifagus virginiana
Epigaea repens
Conoclinium coelestinum
Fragaria virginiana
Gentiana andrewsii
Gentianopsis crinita
Heuchera sanguinea
Hypericum frondosum
Impatiens pallida
Iris versicolor
Lewisia rediviva
Lilium grayi
Linum medium
Menispermum canadense
Mitchella repens
Monarda media
Monarda fistulosa
Nymphaea odorata
Panax trifolius
Pedicularis canadensis
Phoradendron leucarpum
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Rhus glabra
Rosa carolina
Rubus odoratus
Sabatia angularis
Salix discolor
Sanguisorba canadensis
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Symphyotrichum laeve
Symphyotrichum novae-angliae
Symphyotrichum lanceolatum
Clematis tangutica
Clematis crispa
Paeonia lactiflora
Paeonia delavayi
Callianthemum coriandrifolium
Callianthemum anemonoides
Callianthemum angustifolium
Helleborus purpurascens
Actaea europaea
Delphinium oxysepalum
Aconitum anthora
Aconitum moldavicum
Aconitum lasiocarpum
Aesculus glabra
Aesculus parviflora
Amorpha canescens
Potentilla norvegica
Youngia japonica
Mirabilis nyctaginea
Prunus caroliniana
Melampyrum nemorosum
Anemone berlandieri
Melampyrum barbatum
Nemophila menziesii
Oenothera laciniata
Senecio ampullaceus
Salvia lyrata
Phlox pilosa
Phlox amplifolia
Phlox divaricata
Phlox glaberrima
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Sisyrinchium bellum
Cirsium horridulum
Cirsium eriophorum
Galeopsis angustifolia
Lonicera sempervirens
Hymenopappus scabiosaeus
Acca sellowiana
Mazus pumilus
Bidens pilosa
Verbena brasiliensis
Verbena halei
Sabatia campestris
Romneya coulteri
Commelina erecta
Neptunia plena
Hyacinthoides non-scripta
Indigofera miniata
Strophostyles helvola
Oenothera drummondii
Phyteuma nigrum
Phyteuma orbiculare
Globularia punctata
Phalaenopsis sanderiana
Ruellia simplex
Oenothera lindheimeri
Leucophyllum frutescens
Tecoma stans
Chrysosplenium oppositifolium
Ipomoea violacea
Nepeta nepetella
Commelina communis
Duranta erecta
Tropaeolum majus
Lepidium virginicum
Zeuxine strateumatica
Balsamorhiza sagittata
Euryops pectinatus
Oenothera fruticosa
Hydrangea involucrata
Penstemon digitalis
Ceanothus thyrsiflorus
Kaempferia rotunda
Begonia cucullata
Plectranthus fruticosus
Wisteria frutescens
Echium candicans
Limbarda crithmoides
Oenothera rosea
Symphyotrichum ericoides
Crassocephalum crepidioides
Cattleya trianae
Lobelia siphilitica
Cosmos sulphureus
Petunia integrifolia
Alstroemeria pelegrina
Vernonia arkansana
Eutrochium maculatum
Amaryllis belladonna
Ipomoea pandurata
Perilla frutescens
Eriophyllum lanatum
Spathoglottis plicata
Dendrobium kingianum
Gilia tricolor
Oenothera glazioviana
Lavandula dentata
Puschkinia scilloides
Sesbania grandiflora
Erythronium grandiflorum
Camellia sasanqua
Billbergia nutans
Crinum asiaticum
Mertensia maritima
Lilium bulbiferum
Lobelia erinus
