Crocosmia aurea
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Calyptocarpus vialis
Oxalis violacea
Geranium carolinianum
Glandularia bipinnatifida
Triodanis perfoliata
Callirhoe involucrata
Ruellia caroliniensis
Mimosa strigillosa
Castilleja indivisa
Eustoma exaltatum
Melampodium leucanthum
Argemone albiflora
Plectocephalus americanus
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Hymenocallis liriosme
Lantana urticoides
Berlandiera lyrata
Justicia americana
Alternanthera philoxeroides
Froelichia floridana
Malvastrum coromandelianum
Bacopa monnieri
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Teucrium cubense
Liatris squarrosa
Chelone lyonii
Arisaema triphyllum
Artemisia tridentata
Moricandia arvensis
Chamaecrista fasciculata
Chamaelirium luteum
Crataegus succulenta
Vincetoxicum nigrum
Cypripedium parviflorum
Dicentra cucullaria
Epifagus virginiana
Epigaea repens
Conoclinium coelestinum
Gentiana andrewsii
Gentianopsis crinita
Hypericum frondosum
Impatiens pallida
Lilium grayi
Linum medium
Monarda media
Pedicularis canadensis
Phoradendron leucarpum
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Sabatia angularis
Sanguisorba canadensis
Sidalcea malviflora
Ipomoea cordatotriloba
