Silene latifolia;Aftenpragtstjerne;
Mentha arvensis;Ager Mynte;
Sinapis arvensis;Ager Sennep;Agersennep
Anthemis arvensis;Ager-Gåseurt;
Melampyrum arvense;Ager-Kohvede;
Thalictrum aquilegiifolium;Akeleje Frøstjerne;
Veronica spicata;Aks Ærenpris;
Phyteuma spicatum;Aks-Rapunsel;
Epilobium glandulosum;Alaska-Dueurt;
Pimpinella saxifraga;Alm. Pimpinelle;
Helianthemum nummularium;Alm. Soløje;
Agrimonia eupatoria;Almindelig Agermåne;
Digitalis purpurea;Almindelig Fingerbøl;
Galeopsis tetrahit;Almindelig Hanekro;
Borago officinalis;Almindelig Hjulkrone;
Malva sylvestris;Almindelig Katost;
Agrostemma githago;Almindelig Klinte;
Melampyrum pratense;Almindelig Kohvede;
Lotus corniculatus;Almindelig Kællingetand;
Bergenia cordifolia;Almindelig Kæmpestenbræk;
Pulmonaria obscura;Almindelig Lungeurt;
Chrysosplenium alternifolium;Almindelig Milturt;
Thlaspi arvense;Almindelig Pengeurt;
Anaphalis margaritacea;Almindelig Perlekurv;
Allium vineale;Almindelig Sandløg;
Alcea rosea;Almindelig Stokrose;
Sonchus oleraceus;Almindelig Svinemælk;
Rumex acetosa;Almindelig Syre;
Linaria vulgaris;Almindelig Torskemund;
Dracocephalum ruyschiana;Almindeligt Dragehoved;
Datura stramonium;Almindeligt Pigæble;
Veronica alpina;Alpe Ærenpris;
Trifolium hybridum;Alsike Kløver;
Angelica sylvestris;Angelik;
Pimpinella anisum;Anis;
Identificer arter!;Aster x salignus;
Platanthera bifolia;Bakke Gøgelilje;
Myosotis ramosissima;Bakke-Forglemmigej;
Fragaria viridis;Bakkejordbær;
Dianthus deltoides;Bakkenellike;
Bellis perennis;Bellis;
Sedum acre;Bidende Stenurt;
Polygala amarella;Bitter Mælkurt;
Trifolium montanum;Bjerg Kløver;
Centaurea montana;Bjerg-Knopurt;
Alchemilla alpina;Bjerg-Løvefod;Bjergløvefod
Oxytropis lapponica;Bjerg-Spidsbjælg;
Veronica polita;Blank Ærenpris;
Persicaria lapathifolia;Bleg Pileurt;
Trifolium incarnatum;Blodkløver;Blod-Kløver
Geranium sanguineum;Blodrød Storkenæb;
Silene vulgaris;Blæresmælde;
Geranium molle;Blød Storkenæb;
Hepatica nobilis;Blå Anemone;
Campanula rotundifolia;Blåklokke;
Phyllodoce caerulea;Blålyng;
Melampyrum nemorosum;Blåtoppet Kohvede;
Campanula latifolia;Bredbladet Klokke;
Sium latifolium;Bredbladet Mærke;Bredbladet mærke
Thymus pulegioides;Bredbladet Timian;
Anemone trifolia;Brefliget Anemone;
Trifolium spadiceum;Brun kløver;
Lychnis chalcedonica;Brændende Kærlighed;
Trifolium medium;Bugtet Kløver;
Hyoscyamus niger;Bulmeurt;
Galium aparine;Burre Snerre;
Rumex longifolius;By Skræppe;
