Lupinus texensis
Nothoscordum bivalve
Calyptocarpus vialis
Glandularia bipinnatifida
Ruellia caroliniensis
Mimosa strigillosa
Castilleja indivisa
Liatris punctata
Melampodium leucanthum
Eryngium leavenworthii
Zephyranthes drummondii
Hymenocallis liriosme
Lantana urticoides
Hesperaloe parviflora
Justicia americana
Sagittaria platyphylla
Froelichia floridana
Malvastrum coromandelianum
Linum lewisii
Rhexia mariana
Eucnide bartonioides
Teucrium cubense
Liatris squarrosa
Chelone lyonii
Epifagus virginiana
Epigaea repens
Conoclinium coelestinum
Gentianopsis crinita
Lewisia rediviva
Linum medium
Panax trifolius
Pedicularis canadensis
Phoradendron leucarpum
Polygaloides paucifolia
Sabatia angularis
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Callianthemum angustifolium
Aconitum firmum
Aconitum moldavicum
Aconitum lasiocarpum
Youngia japonica
Prunus caroliniana
Anemone berlandieri
Senecio ampullaceus
Phlox pilosa
Lithospermum incisum
Cirsium horridulum
Hymenopappus scabiosaeus
Mazus pumilus
Verbena brasiliensis
Verbena halei
Indigofera miniata
Strophostyles helvola
Oenothera drummondii
