Buphthalmum salicifolium
Butomus umbellatus
Calla palustris
Camelina sativa
Cephalanthera rubra
Cerastium semidecandrum
Chamerion angustifolium
Chrysosplenium alternifolium
Cicuta virosa
Circaea alpina
Cirsium palustre
Clematis alpina
Comarum palustre
Cotoneaster integerrimus
Crepis biennis
Crepis paludosa
Crocus vernus
Cytisus nigricans
Dactylorhiza purpurella
Daphne striata
Descurainia sophia
Dianthus gratianopolitanus
Dianthus seguieri
Draba aizoides
Elodea canadensis
Epilobium roseum
Euphorbia verrucosa
Euphrasia stricta
Filago minima
Forsythia suspensa
Fragaria viridis
Gagea lutea
Gagea pratensis
Gagea villosa
Galinsoga quadriradiata
Genista germanica
Gentiana asclepiadea
Gentianopsis ciliata
Geranium dissectum
Geranium palustre
Geranium phaeum
Geranium sylvaticum
Heracleum mantegazzianum
Hippuris vulgaris
Hydrocharis morsus-ranae
Hylotelephium telephium
Hypericum pulchrum
Hypericum tetrapterum
Impatiens parviflora
Iris sibirica
Knautia dipsacifolia
Lathyrus linifolius
Lathyrus sylvestris
Lemna trisulca
Lotus maritimus
Lysimachia europaea
Lysimachia nummularia
Lysimachia punctata
Lysimachia thyrsiflora
Maianthemum bifolium
Matricaria discoidea
Melampyrum sylvaticum
Moehringia trinervia
Myosotis arvensis
Nuphar pumila
Orobanche minor
Orobanche ramosa
Oxalis corniculata
Petasites albus
Phyteuma spicatum
Polygala comosa
Potentilla alba
Potentilla neumanniana
Pulmonaria officinalis
Pyrola media
Pyrola rotundifolia
Ranunculus auricomus
Ranunculus fluitans
Ranunculus lanuginosus
Ranunculus lingua
Ranunculus montanus
Rhinanthus alectorolophus
Rhinanthus angustifolius
Rhododendron hirsutum
Rhododendron tomentosum
Rorippa amphibia
Rorippa palustris
Rorippa sylvestris
Rosa arvensis
Rosa villosa
Rubus plicatus
Sagina procumbens
Salicornia europaea
Saxifraga paniculata
Scabiosa columbaria
Scheuchzeria palustris
Scilla bifolia
Scorzoneroides autumnalis
Scrophularia umbrosa
Sedum sexangulare
Silaum silaus
Silene nutans
Silene viscaria
Soldanella carpatica
Sparganium erectum
Stachys germanica
Telekia speciosa
Thalictrum flavum
Thesium pyrenaicum
Trifolium medium
Veronica austriaca
Veronica triphyllos
Viola hirta
Viola reichenbachiana
