Centaurea cyanus;Aciano;Aldiza
Centaurea montana;Aciano de montaña;Centaura de las montañas,centaura de montañas
Centaurea nigra;Aciano negro;Cañamones
Oxyria digyna;Acida de montaña;
Aconitum lycoctonum;Acónito;
Aconitum napellus;Acónito común;
Epilobium hirsutum;Adelfilla pelosa;
Papaver somniferum;Adormidera;Amapola blanca
Agrimonia eupatoria;Agrimonia;
Agrimonia procera;Agrimonia olorosa;
Erodium cicutarium;Aguja de pastor;
Geranium pusillum;Aguja de Salamanca;
Allium ursinum;Ajo de oso;Ajo de los osos
Allium oleraceum;Ajo oleráceo;
Allium scorodoprasum;Ajo ornamental;
Allium vineale;Ajo silvestre;Ajicuervo,ajo de cigüeña,ajo de oso
Clinopodium acinos;Albahaquilla de río;
Alchemilla alpina;Alquimila alpina;Estellaria
Stellaria media;Alsine;
Myosoton aquaticum;Alsine de agua;
Tanacetum parthenium;Altamisa;
Papaver dubium;Amapola oblonga;
Papaver rhoeas;Amapola silvestre;Ababol,amapola roja,amapola común
Pimpinella anisum;Anís verde;Matalahúga,anís
Peucedanum palustre;Apio leche;Apio lechal
Vaccinium vitis-idaea;Arándano rojo;
Honckenya peploides;Arenaria de mar;
Potentilla anserina;Argentina;
Atriplex prostrata;Armuelle silvestre;Armuellle astado
Lathyrus pratensis;Arveja de campo;
Asarum europaeum;Asaro;
Aster amellus;Aster italiano;
Astrantia major;Astrancia;
Silene suecica;Atrapamoscas alpina;
Veronica persica;Azuletes;
Aruncus dioicus;Barba de chivo;Plumas de novia
Arctium lappa;Bardana mayor;Agarrocha,anteón,lampazo mayor
Sium latifolium;Barrera;
Salsola kali;Barrilla pinchosa;
Hyoscyamus niger;Beleño negro;
Primula elatior;Bellorita;primavera de los jardines
Bergenia cordifolia;Bergenia;
Lepidium sativum;Berro de jardín;
Cardamine pratensis;Berro de prado;Mastuerzo de los prados
Stachys officinalis;Betónica;Bretónica,salima fina,savia
Melampyrum nemorosum;Boca del dragón;
Capsella bursa-pastoris;Bolsa de pastor;
Silene dioica;Borbonesa;
Borago officinalis;Borraja;Borraina
Ranunculus repens;Botón de oro rastrero;Ranúnculo arrastrado
Erica tetralix;Brezo de las turberas;brezo de los trampales,brecillo
Anchusa officinalis;Buglosa;Lengua de buey
Ajuga reptans;Búgula;Ajuga,consuelda media,hierba del carpintero,lechuguilla
Ajuga genevensis;Búgula de Ginebra;Ajuga
Datura stramonium;Burladora;Chamico,estramonio,flor de la trompeta,hierba del diablo,hierba hedionda,higuera del infierno,higuera loca,revientavacas
Dracocephalum ruyschiana;Cabeza de dragón;
Acorus calamus;Cálamo aromático;
Trollius europaeus;Calderones;Flor de San Pallari
Calendula officinalis;Caléndula;
Empetrum nigrum;Camarina negra;
Matricaria chamomilla;Camomila;
Tripleurospermum maritimum ssp. inodorum;Camomila sin olor;
Campanula latifolia;Campaneta blava;
Campanula glomerata;Campanilla;
Cassiope tetragona;Campanilla ártica;
Campanula rotundifolia;Campanilla de Irlanda;
Campanula trachelium;Campanilla de ortiga;Campanillas
Campanula persicifolia;Campanilla silvestre;
Campanula patula;Campanilla silvestre;
Campanula rapunculoides;Campanillas;
Bidens tripartita;Cáñamo acuático;
Carduus nutans;Cardo almizclero;Cardo pendiente
Eryngium planum;Cardo azul;
Onopordum acanthium;Cardo borriquero;Alcachofa borriquera,ansarina,toba.
Carduus acanthoides;Cardo común;Cardo chileno
Thlaspi arvense;Carraspique;Talaspio
Centaurium pulchellum;Centaura;Herba de centaura
Centaurea scabiosa;Centaura mayor;
Centaurea dealbata;Centaurea;
Cerastium nigrescens;Cerastium nigrescens;
Sonchus oleraceus;Cerraja;Cerrajón
Pastinaca sativa;Chirivía;
Cicerbita macrophylla;Cicerbita;
Conium maculatum;Cicuta;
Actaea spicata;Cimífuga;Hierba de San Cristóbal
Potentilla reptans;Cincoenrama;
Potentilla crantzii;Cinquefoil alpestre;
Dianthus deltoides;Clavelina;
Armeria maritima;Clavelina de mar;Armeria
Dianthus superbus;Clavelito;
Clinopodium vulgare;Clinopodio;
Sagittaria sagittifolia;Cola de golondrina;Flecha de agua
Corydalis solida;Colimbia sólida;
Silene vulgaris;Colleja;
Silene uniflora;Colleja marina;
Brassica napus;Colza y colinabo;
Laserpitium latifolium;Comino negro;
Symphytum asperum;Consuelda áspera;
Consolida regalis;Consuelda real;
Symphytum × uplandicum;Consuelda rusa;
Dicentra formosa;Corazón de la virgen;Yerba palomilla
Cornus suecica;Corno enano;
Securigera varia;Coronilla rosa;
Crambe maritima;Crambe marítimo;
Lychnis chalcedonica;Cruz de Malta;Cruz de Jerusalén,flor de Júpiter,ramilletes de Constantinopla
Digitalis purpurea;Dedalera;Cartucho,chupamieles,digital
Diapensia lapponica;Diapensia de Laponia;
Taraxacum spp.;Diente de león;
Digitalis grandiflora;Digital de grandes flores;Flores de jardín
Dryas octopetala;Driada de ocho pétalos;
Aegopodium podagraria;Egopodio;Hierba de los gotosos,angelica menor,hierba de San Andrés
Melampyrum cristatum;Enjaulada;
Sisymbrium officinale;Erísimo;
Scleranthus annuus;Escleranto;
Artemisia campestris;Escobilla parda;Zancajareña
Monotropa hypopitys;Espárrago borde;Pipa de indio
Delphinium elatum;Espuela de caballero;
Stellaria nemorum;Estelaria del bosque;
Ranunculus flammula;Flámula;
Pulsatilla vulgaris;Flor de pascua;Flor de viento,sangre del danés
Pulsatilla vernalis;Flor del viento;
Linnaea borealis;Flor gemela;
Fragaria vesca;Fresa silvestre;
Fumaria officinalis;Fumaria;
Galega officinalis;Galega;Ruda cabruna
Galeopsis tetrahit;Galeópside;
Galium album;Galio blanco;Galio vertical
Galium palustre;Galio palustre;
Vicia tetrasperma;Garrobilla;Ojo de serpiente
Gentiana nivalis;Genciana nevada;
Geranium lucidum;Geranio cuarto;Alfileres
Geranium molle;Geranio de los caminos;Geranio muelle,geranio blando,alfilerillo.
Geranium pyrenaicum;Geranio de los Pirineos;
Geranium sanguineum;Geranio de sangre;Aguja sangrienta
Helianthus annuus;Girasol;
Verbascum thapsus;Gordolobo;Verbasco
Pinguicula vulgaris;Grasilla;
Lathyrus tuberosus;Guija tuberosa;
Epipactis helleborine;Heleborina de hojas anchas;Reina de las nieves
Epipactis palustris;Heleborina de los pantanos;
Epipactis atrorubens;Heleborina rojo oscuro;Heleborina real,heleborina púrpura oscura
Inula helenium;Helenio;Enula
Helianthemum nummularium;Heliántemo;
Hepatica nobilis;Hepática;
Parnassia palustris;Hepática blanca;
Glechoma hederacea;Hiedra terrestre;
Veronica hederifolia;Hiedrezuela terrestre;Hierba gallinera
Spergularia salina;Hierba de la golondrina;
Hypericum maculatum;Hierba de San Juan;
Persicaria lapathifolia;Hierba de Santa María;
Senecio jacobaea;Hierba de Santiago;Azuzón,hierba cana,sacapeos,suzón
Mentha x verticillata;Hierbabuena;
Gypsophila muralis;Ilusión;Ilusión de novia,nube
Saponaria officinalis;Jabonera;
Silene latifolia;Jabonera blanca;
Arctium minus;Lampazo menor;
Lathraea squamaria;Latrea escamosa;
Euphorbia helioscopia;Lecherula;
Euphorbia peplus;Lechetrezna;Lechecina,lechera,lecheriega
Euphorbia palustris;Lechetrezna palustre;
Euphorbia exigua;Lechetrezna romeral;
Mycelis muralis;Lechuga de los muros;
Sonchus asper;Lechuguilla espinosa;Cerraja
Picris hieracioides;Lengua de gato;
Cynoglossum officinale;Lengua de perro;
Rumex crispus;Lengua de vaca;
Nymphaea tetragona;Lirio pigmeo;
Listera ovata;Listera ovada;
Plantago major;Llantén mayor;Llantén común
Plantago lanceolata;Llantén menor;
Lotus corniculatus;Loto de los prados;Cuernecillo
Lupinus polyphyllus;Lupino;Altramuz
Lupinus angustifolius;Lupino azul;Altramuz azul,altramuz silvestre,lupino de hojas angostas
Malva sylvestris;Malva;Malva común,malva mayor
Malva moschata;Malva moscada;
Alcea rosea;Malva real;
Anthemis arvensis;Manzanilla de los campos;Manzanilla bastarda
Leucanthemum vulgare;Margarita mayor;Margaritón
Cardamine amara;Mastuerzo amargo;Mastuerzo mayor
Cardaria draba;Mastuerzo bárbaro;Mastuerzo oriental
Cardamine hirsuta;Mastuerzo menor;
Tripleurospermum maritimum;Matricaria marítima;
Melilotus officinalis;Meliloto;Meliloto oficinal
Mentha aquatica;Menta acuática;Hierbabuena de agua,menta de agua
Nepeta cataria;Menta de gato;Nébeda,albahaca de gatos
Mentha x gracilis;Menta de jengibre;
Mentha arvensis;Menta japonesa;
Mimulus guttatus;Mímulo;Flor mono
Myosotis sylvatica;Miosotis;
Myrrhis odorata;Mirra;
