Euphorbia verrucosa
Gagea villosa
Gentianopsis ciliata
Holosteum umbellatum
Jacobaea erucifolia
Oenothera parviflora
Orchis pallens
Orobanche minor
Potentilla pusilla
Ranunculus fluitans
Rumex alpinus
Rumex conglomeratus
Thesium pyrenaicum
Veronica triphyllos
Crocosmia aurea
Calyptocarpus vialis
Geranium carolinianum
Glandularia bipinnatifida
Triodanis perfoliata
Ruellia caroliniensis
Mimosa strigillosa
Castilleja indivisa
Eustoma exaltatum
Melampodium leucanthum
Argemone albiflora
Plectocephalus americanus
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Hymenocallis liriosme
Lantana urticoides

Justicia americana
Sagittaria platyphylla
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Nelumbo lutea
Bacopa monnieri
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Teucrium cubense
Trifolium incarnatum
Liatris squarrosa
Asclepias syriaca
Chelone lyonii
Anaphalis margaritacea
Arisaema triphyllum
Artemisia tridentata
Moricandia arvensis
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Cypripedium reginae
Dicentra cucullaria
Echinacea purpurea
Epifagus virginiana
Epigaea repens
Eschscholzia californica
Conoclinium coelestinum
Gaultheria procumbens
Gelsemium sempervirens
Gentiana andrewsii
Gentianopsis crinita
Hamamelis virginiana
Heuchera sanguinea
Hibiscus moscheutos
Hypericum frondosum
Impatiens pallida
Iris versicolor
Kalmia angustifolia
Kalmia latifolia
Lewisia rediviva
Lilium grayi
Linum medium
Lobelia cardinalis
Menispermum canadense
Mitchella repens
Monarda media
Monarda fistulosa
Nymphaea odorata
Panax trifolius
Passiflora incarnata
Pedicularis canadensis
Phoradendron leucarpum
Phytolacca americana
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Prunus americana
Rhus glabra
Rhus typhina
Rosa carolina
Rubus odoratus
Sabatia angularis
Salix discolor
Sarracenia purpurea
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Amaranthus hybridus
Doronicum austriacum
Symphyotrichum laeve
Symphyotrichum novae-angliae
Symphyotrichum lanceolatum
Adonis flammea
Adonis annua
Clematis integrifolia
Clematis recta
Clematis tangutica
Clematis viticella
Clematis crispa
Paeonia mascula
Paeonia delavayi
Callianthemum coriandrifolium
Callianthemum anemonoides
Callianthemum angustifolium
Helleborus purpurascens
Calendula arvensis
Nigella arvensis
Nigella damascena
Isopyrum thalictroides
Actaea europaea
Consolida ajacis
Consolida orientalis
Delphinium oxysepalum
Aconitum anthora
Aconitum firmum
Aconitum moldavicum
Aconitum variegatum
Aconitum lasiocarpum
Aesculus flava
Aesculus glabra
Aesculus parviflora
Aesculus pavia
Amorpha canescens
Amorpha fruticosa
Youngia japonica
Bougainvillea glabra
Mirabilis jalapa
Mirabilis nyctaginea
Prunus caroliniana
Rosmarinus officinalis
Anemone berlandieri
Paulownia tomentosa
Melampyrum barbatum
Nemophila menziesii
Oenothera laciniata
Senecio ampullaceus
Salvia lyrata
Phlox pilosa
Phlox amplifolia
Phlox divaricata
Phlox glaberrima
Phlox subulata
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Sisyrinchium bellum
Cirsium horridulum
Gentianella germanica
Cirsium eriophorum
Galeopsis angustifolia
Melittis melissophyllum
Orobanche caryophyllacea
Orchis purpurea
Lonicera sempervirens
Hymenopappus scabiosaeus
Acca sellowiana
Trapa natans
Mazus pumilus
Bergenia crassifolia
Viola mandshurica
Bidens pilosa
Verbena brasiliensis
Verbena halei
Sabatia campestris
Romneya coulteri
Commelina erecta
Neptunia plena
Hyacinthoides non-scripta
Indigofera miniata
Strophostyles helvola
Oenothera drummondii
Phyteuma nigrum
Phyteuma orbiculare
Salvia glutinosa
Phalaenopsis sanderiana
Lagerstroemia indica
Ruellia simplex
Oenothera lindheimeri
Leucophyllum frutescens
Chrysosplenium oppositifolium
Vitex agnus-castus
Himantoglossum hircinum
Ipomoea violacea
Datura innoxia
Argyranthemum frutescens
Nepeta nepetella
Commelina communis
Duranta erecta
Lepidium virginicum
Zeuxine strateumatica
Balsamorhiza sagittata
Euryops pectinatus
Chamaemelum nobile
Gerbera jamesonii
Scilla luciliae
Oenothera fruticosa
Hydrangea involucrata
Podophyllum peltatum
Penstemon digitalis
Anthurium andraeanum
Philadelphus coronarius
Kaempferia rotunda
Begonia cucullata
Iberis sempervirens
Plectranthus fruticosus
Wisteria frutescens
Echium candicans
Jasminum officinale
Gladiolus palustris
Tragopogon porrifolius
Clivia miniata
Limbarda crithmoides
Oenothera rosea
Symphyotrichum ericoides
Aubrieta deltoidea
Crassocephalum crepidioides
Cattleya trianae
Claytonia perfoliata
Cosmos sulphureus
Petunia integrifolia
Rosa spinosissima
Rosa gallica
Alstroemeria pelegrina
Salvia sclarea
Vernonia arkansana
Eutrochium maculatum
Amaryllis belladonna
Zinnia elegans
Perilla frutescens
Centella asiatica
Eriophyllum lanatum
Gynostemma pentaphyllum
Kniphofia uvaria
Canna indica
Dendrobium kingianum
Gentiana acaulis
Oenothera glazioviana
Celosia argentea
Lavandula dentata
Puschkinia scilloides
Sesbania grandiflora
Monstera deliciosa
Lablab purpureus
Erythronium grandiflorum
Erythronium dens-canis
Camellia sasanqua
Ramonda serbica
Dicentra formosa
Billbergia nutans
Crinum asiaticum
Mertensia maritima
Lobelia inflata
Satureja montana
Geranium cinereum
Iris japonica
Brugmansia sanguinea
Hymenocallis littoralis
Pontederia cordata
Ornithogalum pyrenaicum
Garrya elliptica
Aucuba japonica
Aquilegia atrata
Vinca major
Sempervivum montanum
Alchemilla mollis
Geum reptans
Leopoldia comosa
Kalanchoe crenata
Camassia quamash
Asphodeline lutea
Silene gallica
Lantana camara
Dietes bicolor
Polemonium pulcherrimum
Torilis arvensis
Aurinia saxatilis
Astilbe rubra
Catharanthus roseus
Cerinthe major
Nepeta racemosa
Limonium sinuatum
Hydrangea macrophylla
Aristolochia macrophylla
Skimmia japonica
Jacobaea maritima
Ornithogalum dubium
Symphytum tuberosum
Salvia yangii
Anemone coronaria
Nemophila maculata
Centranthus ruber
Pyracantha coccinea
Melaleuca citrina
Crepis setosa
Valeriana tuberosa
Pulicaria dysenterica
Anthriscus caucalis
Liriodendron tulipifera
Orobanche gracilis
Freesia laxa
