Aconitum napellus
Actaea spicata
Adonis aestivalis
Adoxa moschatellina
Aegonychon purpurocaeruleum
Aegopodium podagraria
Aethusa cynapium
Agrostemma githago
Ajuga genevensis
Alchemilla vulgaris
Alliaria petiolata
Allium angulosum
Allium vineale
Alyssum alyssoides
Alyssum montanum
Amelanchier ovalis
Anacamptis morio
Anagallis arvensis
Anchusa officinalis
Andromeda polifolia
Anemone hepatica
Anemone narcissiflora
Anemone ranunculoides
Anemone sylvestris
Angelica sylvestris
Antennaria dioica
Anthemis arvensis
Anthericum liliago
Anthericum ramosum
Anthriscus sylvestris
Anthyllis vulneraria
Aquilegia vulgaris
Arabis alpina
Arabis hirsuta
Arctium minus
Arctium tomentosum
Arenaria serpyllifolia
Aristolochia clematitis
Aruncus dioicus
Asarum europaeum
Aster amellus
Astragalus glycyphyllos
Astrantia major
Atriplex patula
Atriplex prostrata
Barbarea vulgaris
Bidens tripartita
Biscutella laevigata
Blitum bonus-henricus
Bryonia dioica
Buddleja davidii
Buglossoides arvensis
Buphthalmum salicifolium
Bupleurum falcatum
Calla palustris
Calystegia sepium
Camelina sativa
Campanula glomerata
Campanula patula
Campanula persicifolia
Campanula rapunculoides
Campanula trachelium
Cardamine amara
Cardamine pratensis
Carduus acanthoides
Carduus nutans
Carlina acaulis
Centaurea jacea
Centaurea montana
Centaurea scabiosa
Centaurium erythraea
Cephalanthera damasonium
Cephalanthera rubra
Cerastium arvense
Cerastium fontanum
Cerastium semidecandrum
Ceratophyllum demersum
Chaerophyllum bulbosum
Chaerophyllum temulum
Chamerion angustifolium
Chimaphila umbellata
Chrysosplenium alternifolium
Cicuta virosa
Circaea alpina
Circaea lutetiana
Cirsium acaule
Cirsium oleraceum
Clematis alpina
Clematis vitalba
Clinopodium vulgare
Comarum palustre
Consolida regalis
Conyza canadensis
Corydalis cava
Corydalis solida
Cotoneaster integerrimus
Crataegus laevigata
Crepis biennis
Crepis capillaris
Crepis paludosa
Crocus vernus
Cruciata laevipes
Cuscuta epithymum
Cytisus nigricans
Cytisus scoparius
Dactylorhiza incarnata
Dactylorhiza maculata
Dactylorhiza majalis
Daphne cneorum
Daphne mezereum
Daphne striata
Dianthus carthusianorum
Dianthus deltoides
Dianthus gratianopolitanus
Dianthus seguieri
Dianthus superbus
Dictamnus albus
Digitalis grandiflora
Digitalis lutea
Diplotaxis muralis
Diplotaxis tenuifolia
Dipsacus fullonum
Draba aizoides
Drosera rotundifolia
Echium vulgare
Empetrum nigrum
Epilobium montanum
Epilobium parviflorum
Epilobium roseum
Epipactis helleborine
Epipactis palustris
Erica tetralix
Erigeron acris
Erodium cicutarium
Draba verna
Erysimum cheiranthoides
Euonymus europaeus
Eupatorium cannabinum
Euphorbia cyparissias
Euphorbia dulcis
Euphorbia exigua
Euphorbia palustris
