Biscutella laevigata
Buphthalmum salicifolium
Bupleurum falcatum
Cirsium acaule
Cytisus nigricans
Daphne cneorum
Daphne striata
Dianthus gratianopolitanus
Dianthus seguieri
Euphorbia verrucosa
Forsythia suspensa
Gagea villosa
Gentianopsis ciliata
Globularia vulgaris
Gratiola officinalis
Knautia dipsacifolia
Lotus maritimus
Ophrys fuciflora
Ophrys sphegodes
Orchis pallens
Peucedanum oreoselinum
Potentilla sterilis
Pulsatilla alpina
Rhododendron ferrugineum
Rhododendron hirsutum
Ribes petraeum
Rosa arvensis
Rubus plicatus
Scrophularia umbrosa
Scutellaria minor
Soldanella carpatica
Stachys germanica
Stachys recta
Thesium pyrenaicum
Valeriana dioica
Crocosmia aurea
Nothoscordum bivalve
Calyptocarpus vialis
Oxalis violacea
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Callirhoe involucrata
Ruellia caroliniensis
Coreopsis lanceolata
Mimosa strigillosa
Trachelospermum jasminoides
Castilleja indivisa
Liatris punctata
Melampodium leucanthum
Sisyrinchium angustifolium
Argemone albiflora
Plectocephalus americanus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Tradescantia virginiana
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Hesperaloe parviflora
Justicia americana
Sagittaria platyphylla
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Teucrium cubense
Liatris squarrosa
Chelone lyonii
Arisaema triphyllum
Artemisia tridentata
Moricandia arvensis
Chamaecrista fasciculata
Chamaelirium luteum
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Dicentra cucullaria
Epifagus virginiana
Epigaea repens
Conoclinium coelestinum
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Heuchera sanguinea
Hibiscus moscheutos
Hypericum frondosum
Impatiens pallida
Kalmia angustifolia
Lewisia rediviva
Lilium grayi
Linum medium
Mitchella repens
Monarda media
Nymphaea odorata
Panax trifolius
Pedicularis canadensis
Phoradendron leucarpum
Phytolacca americana
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Prunus americana
Rhus glabra
Rosa carolina
Sabatia angularis
Salix discolor
Sambucus canadensis
Sanguisorba canadensis
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Doronicum austriacum
Symphyotrichum laeve
Adonis flammea
Clematis crispa
Paeonia suffruticosa
Paeonia delavayi
Callianthemum coriandrifolium
Callianthemum anemonoides
Callianthemum angustifolium
Actaea europaea
Delphinium oxysepalum
Aconitum firmum
Aconitum moldavicum
Aconitum variegatum
Aconitum lasiocarpum
Aesculus flava
Aesculus parviflora
Aesculus pavia
Amorpha canescens
Youngia japonica
Bougainvillea glabra
Mirabilis nyctaginea
Dermatophyllum secundiflorum
Prunus caroliniana
Anemone berlandieri
Melampyrum barbatum
Senecio ampullaceus
Salvia lyrata
Phlox pilosa
Phlox amplifolia
Phlox divaricata
Phlox glaberrima
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Sisyrinchium bellum
Cirsium horridulum
Gentianella germanica
Orobanche caryophyllacea
Orchis purpurea
Lonicera sempervirens
Hymenopappus scabiosaeus
Mazus pumilus
Viola mandshurica
Verbena brasiliensis
Verbena halei
Sabatia campestris
Commelina erecta
Neptunia plena
Indigofera miniata
Strophostyles helvola
Oenothera drummondii
Globularia punctata
Phalaenopsis sanderiana
Ostrya carpinifolia
Ruellia simplex
Leucophyllum frutescens
Swertia perennis
Himantoglossum hircinum
Ipomoea violacea
Nepeta nepetella
