Centaurea jacea;Ahdekaunokki;
Viola canina;Aho-orvokki;
Gnaphalium sylvaticum;Ahojäkkärä;
Hieracium Vulgata -ryhmä;Ahokeltanot;
Pulsatilla pratensis;Ahokylmänkukka;Etelänkylmänkukka
Ranunculus polyanthemos;Aholeinikki;
Fragaria vesca;Ahomansikka;Metsämansikka
Galium boreale;Ahomatara;
Linum catharticum;Ahopellava;
Pimpinella saxifraga;Ahopukinjuuri;Pukinjuuri.
Rumex acetosella;Ahosuolaheinä;
Ipomoea purpurea;Aitoelämänlanka;
Phacelia tanacetifolia;Aitohunajakukka;
Nepeta cataria;Aitokissanminttu;
Aconitum napellus;Aitoukonhattu;
Vicia sepium;Aitovirna;
Hibiscus trionum;Ajannäyttäjä;Ajannäyttäjähibiskus
Claytonia sibirica;Alaskankleitonia;
Rumex alpinus;Alppihierakka;
Anemone trifolia;Alppivuokko;
Trifolium hybridum;Alsikeapila;
Epilobium adenocaulon;Amerikanhorsma;
Pimpinella anisum;Anisruoho;
Arnica angustifolia;Arnikki;Tunturiarnikki
Anemone sylvestris;Arovuokko;
Agrostemma githago;Aurankukka;
Helianthus annuus;Auringonkukka;Isoauringonkukka
Telekia speciosa;Auringontähti;
Echinops exaltatus;Balkaninpallo-ohdake;Harmaapallo-ohdake,Isopallo-ohdake
Aster amellus;Elokuunasteri;
Onobrychis viciifolia;Esparsetti;
Primula elatior;Etelänkevätesikko;
Petasites hybridus;Etelänruttojuuri;
Sanicula europaea;Haavayrtti;
Geranium robertianum;Haisukurjenpolvi;
Ajuga genevensis;Hammasakankaali;
Cardamine bulbifera;Hammasjuuri;
Persicaria maculosa;Hanhentatar;
Silene dichotoma;Hankakohokki;
Oxyria digyna;Hapro;
Corallorhiza trifida;Harajuuri;
Campanula patula;Harakankello;
Selinum carvifolia;Harjasärmäputki;Särmäputki
Draba incana;Harmaakynsimö;
Lavatera thuringiaca;Harmaamalvikki;
Berteroa incana;Harmio;
Myosotis sparsiflora;Harsulemmikki;
Plantago lanceolata;Heinäratamo;
Stellaria graminea;Heinätähtimö;
Anaphalis margaritacea;Helminukkajäkkärä;
Muscari botryoides;Hentohelmililja;
Corydalis intermedia;Hentokiurunkannus;
Chenopodium polyspermum;Hentosavikka;
Triglochin palustris;Hentosuolake;
Listera cordata;Herttakaksikko;
Bergenia cordifolia;Herttavuorenkilpi;
Rumex longifolius;Hevonhierakka;
Astragalus arenarius;Hietakurjenherne;
Allium vineale;Hietalaukka;
Myosotis stricta;Hietalemmikki;
Dianthus arenarius;Hietaneilikka;
Viola rupestris;Hietaorvokki;
Cardaminopsis arenosa;Hietapitkäpalko;
Myosurus minimus;Hiirenhäntä;
Pilosella Cauligera -ryhmä;Hiirenkeltanot;
Vicia cracca;Hiirenvirna;
Campanula cervicaria;Hirvenkello;
Seseli libanotis;Hirvenputki;
Thalictrum simplex;Hoikkaängelmä;
Potentilla argentea;Hopeahanhikit;
Gentianella amarella;Horkkakatkero;
Potentilla intermedia;Huhtahanhikki;
Geranium bohemicum;Huhtakurjenpolvi;
Aethusa cynapium;Hukanputki;
Hyoscyamus niger;Hullukaali;
Humulus lupulus;Humala;
Cuscuta europaea;Humalanvieras;
Centaurea dealbata;Huopakaunokki;
Pilosella Pilosellina -ryhmä;Huopakeltanot;
Cirsium helenioides;Huopaohdake;
Chenopodium bonus-henricus;Hyvänheikinsavikka;
Pulsatilla patens;Hämeenkylmänkukka;
Hypochaeris maculata;Häränsilmä;Harjuhäränsilmä
Rumex confertus;Idänhierakka;
Oxytropis campestris ssp. sordida;Idänkeulankärki;
Scilla siberica;Idänsinililja;
Papaver orientale;Idänunikko;
Hyssopus officinalis;Iisoppi;
Hesperis matronalis;Illakko;Tarhaillakko
Oenothera biennis;Iltahelokki;
Astragalus glycyphyllos;Imeläkurjenherne;
Pulmonaria obscura;Imikkä;Lehtoimikkä
Dracocephalum ruyschiana;Isoampiaisyrtti;
Rumex hydrolapathum;Isohierakka;
Diplotaxis tenuifolia;Isohietasinappi;
Inula helenium;Isohirvenjuuri;
Vaccinium oxycoccos;Isokarpalo;
Scilla luciliae;Isokevättähti;
Antennaria lanata;Isokissankäpälä;
Lepidium latifolium;Isokrassi;
Draba daurica;Isokynsimö;
Gagea lutea;Isokäenrieska;
Rhinanthus angustifolius;Isolaukku;
Polygala vulgaris;Isolinnunruoho;
Hylotelephium telephium;Isomaksaruoho;
Atriplex prostrata;Isomaltsa;
Melilotus altissimus;Isomesikkä;
Solidago gigantea;Isopiisku;
Pimpinella major;Isopukinjuuri;
Delphinium elatum;Isoritarinkannus;
Centaurium littorale;Isosappi;Isorantasappi
Cicerbita macrophylla;Isosinivalvatti;Tarhasinivalvatti
Ranunculus peltatus;Isosätkin;
Arctium lappa;Isotakiainen;
Pyrola rotundifolia;Isotalvikki;
Astrantia major;Isotähtiputki;
Utricularia vulgaris;Isovesiherne;
Eranthis hyemalis;Italiantalventähti;
Senecio jacobaea;Jaakonvillakko;
Corydalis nobilis;Jalokiurunkannus;
Mentha x gracilis;Jalominttu;
Petasites japonicus ssp. giganteus;Japaninruttojuuri;
Fallopia japonica;Japanintatar;
Primula farinosa;Jauhoesikko;
Chenopodium album;Jauhosavikka;
Ranunculus lingua;Jokileinikki;
Vaccinium uliginosum;Juolukka;
Linaria repens;Juovakannusruoho;
Trifolium arvense;Jänönapila;
Mycelis muralis;Jänönsalaatti;
Impatiens glandulifera;Jättipalsami;
Papaver pseudoorientale;Jättiunikko;
