Crocosmia aurea
Agave americana
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Gaillardia pulchella
Calyptocarpus vialis
Oxalis violacea
Oxalis stricta
Geranium carolinianum
Oenothera speciosa
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Monarda citriodora
Callirhoe involucrata
Ruellia caroliniensis
Coreopsis lanceolata
Mimosa strigillosa
Castilleja indivisa
Eustoma exaltatum
Rudbeckia hirta
Liatris punctata
Melampodium leucanthum
Argemone albiflora
Plectocephalus americanus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Asclepias tuberosa
Tradescantia virginiana
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Sagittaria platyphylla
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Bacopa monnieri
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Phyla nodiflora
Eucnide bartonioides
Solanum carolinense
Teucrium cubense
Liatris squarrosa
Bidens frondosa
Chelone lyonii
Anaphalis margaritacea
Moricandia arvensis
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Cypripedium parviflorum
Dicentra cucullaria
Echinacea purpurea
Epifagus virginiana
Epigaea repens
Conoclinium coelestinum
Gelsemium sempervirens
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Heuchera sanguinea
Hypericum frondosum
Impatiens pallida
Lewisia rediviva
Lilium grayi
Linum medium
Lobelia cardinalis
Menispermum canadense
Mitchella repens
Monarda media
Monarda fistulosa
Panax trifolius
Pedicularis canadensis
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Rosa carolina
Sabatia angularis
Sanguisorba canadensis
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Rhodiola rosea
