Aphanes arvensis
Buddleja davidii
Chlorophytum comosum
Dianthus gratianopolitanus
Dianthus seguieri
Erica tetralix
Lysimachia europaea
Lysimachia thyrsiflora
Matricaria discoidea
Pulsatilla patens
Pulsatilla vulgaris
Rhododendron tomentosum
Scutellaria minor
Soldanella carpatica
Vaccinium oxycoccos
Crocosmia aurea
Argemone mexicana
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Gaillardia pulchella
Calyptocarpus vialis
Oxalis violacea
Geranium carolinianum
Oenothera speciosa
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Aconitum lycoctonum
Nymphaea caerulea
Jacaranda mimosifolia
Monarda citriodora
Callirhoe involucrata
Ruellia caroliniensis
Coreopsis lanceolata
Mimosa strigillosa
Trachelospermum jasminoides
Castilleja indivisa
Phlox drummondii
Eustoma exaltatum
Liatris punctata
Melampodium leucanthum
Sisyrinchium angustifolium
Argemone albiflora
Plectocephalus americanus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Asclepias tuberosa
Tradescantia virginiana
Physostegia virginiana
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Sagittaria latifolia
Sagittaria platyphylla
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Nelumbo lutea
Bacopa monnieri
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Teucrium cubense
Liatris squarrosa
Ambrosia trifida
Chelone lyonii
Anaphalis margaritacea
Arisaema triphyllum
Artemisia tridentata
Asarum canadense
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Cornus canadensis
Cornus florida
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Cypripedium reginae
Dicentra cucullaria
Epifagus virginiana
Epigaea repens
Eschscholzia californica
Conoclinium coelestinum
Fragaria virginiana
Gaultheria procumbens
Gelsemium sempervirens
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Hamamelis virginiana
Heuchera sanguinea
Hibiscus moscheutos
Hypericum frondosum
Impatiens pallida
Iris versicolor
Kalmia angustifolia
Kalmia latifolia
Lewisia rediviva
Lilium grayi
Linum medium
Lobelia cardinalis
Menispermum canadense
Mitchella repens
Monarda media
Monarda fistulosa
Nymphaea odorata
Panax trifolius
Passiflora incarnata
Pedicularis canadensis
Phoradendron leucarpum
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Prunus americana
Rhus glabra
Rosa carolina
Sabatia angularis
Salix discolor
Sambucus canadensis
Sanguisorba canadensis
Sarracenia purpurea
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Caesalpinia pulcherrima
Symphyotrichum laeve
Clematis tangutica
Clematis crispa
Paeonia suffruticosa
Paeonia lactiflora
Paeonia delavayi
Callianthemum coriandrifolium
Callianthemum anemonoides
Callianthemum angustifolium
Actaea europaea
Consolida orientalis
Delphinium oxysepalum
Aconitum firmum
Aconitum moldavicum
Aconitum lasiocarpum
Aesculus glabra
Aesculus parviflora
Amorpha canescens
Veronica longifolia
Youngia japonica
Bougainvillea glabra
Mirabilis nyctaginea
Dermatophyllum secundiflorum
Prunus caroliniana
Anemone berlandieri
Nemophila menziesii
Oenothera laciniata
Senecio ampullaceus
Salvia lyrata
Phlox pilosa
Phlox amplifolia
Phlox divaricata
Phlox glaberrima
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Sisyrinchium bellum
Cirsium horridulum
Hymenopappus scabiosaeus
Reynoutria japonica
Mazus pumilus
Bergenia crassifolia
Viola mandshurica
Bidens pilosa
Verbena brasiliensis
Verbena halei
Sabatia campestris
Romneya coulteri
Commelina erecta
Neptunia plena
Hyacinthoides non-scripta
Indigofera miniata
Strophostyles helvola
Oenothera drummondii
Phalaenopsis sanderiana
Lagerstroemia indica
Ruellia simplex
Oenothera lindheimeri
Leucophyllum frutescens
Tecoma stans
Himantoglossum hircinum
Ipomoea violacea
Argyranthemum frutescens
Nepeta nepetella
Duranta erecta
Lepidium virginicum
Zeuxine strateumatica
Balsamorhiza sagittata
Hibiscus rosa-sinensis
Euryops pectinatus
Chamaemelum nobile
Gerbera jamesonii
Scilla luciliae
Oenothera fruticosa
Hydrangea involucrata
Podophyllum peltatum
Penstemon digitalis
Anthurium andraeanum
Ceanothus thyrsiflorus
Kaempferia rotunda
Begonia cucullata
Plectranthus fruticosus
Wisteria frutescens
Echium candicans
Tragopogon porrifolius
Clivia miniata
Oenothera rosea
Symphyotrichum ericoides
Crassocephalum crepidioides
Cattleya trianae
Lobelia siphilitica
Cosmos sulphureus
Petunia integrifolia
Alstroemeria pelegrina
Vernonia arkansana
Eutrochium maculatum
Amaryllis belladonna
Ipomoea pandurata
Centella asiatica
Eriophyllum lanatum
Gynostemma pentaphyllum
Kniphofia uvaria
Spathoglottis plicata
Dendrobium kingianum
Stevia rebaudiana
Gilia tricolor
Potentilla recta
Oenothera glazioviana
Celosia argentea
Puschkinia scilloides
Sesbania grandiflora
Monstera deliciosa
Lablab purpureus
Erythronium grandiflorum
Camellia sasanqua
Ramonda serbica
Dicentra formosa
Crinum asiaticum
Mertensia maritima
Lobelia inflata
Rhododendron macrophyllum
Geranium cinereum
Iris japonica
Brugmansia sanguinea
Hymenocallis littoralis
Pontederia cordata
Garrya elliptica
Aquilegia atrata
Scilla siberica
Thlaspi caerulescens
Kalanchoe crenata
Camassia quamash
Cardamine bulbifera
Lantana camara
