Chamaecyparis lawsoniana;Lawsonov pačempres;oregonski cedar
Cupressus sempervirens;zimzeleni čempres;čempres,čipres,ančipres,cimpreš,cipres,cipres drvo,ciprež drvo,čempris,ćepris,ćimpres,kupres,vazdazeleni čempres,obični čempres
Juniperus sabina;smrdljiva borovica;somina,glušak,glušak smrič,klekovina ženska,savica,smrič gluhi,smrieč gluhi,somina jagodna,varunac,glušac,gluha smreka,gluhi smrč,smrdljiva brinja,planinska somina,smrdeljika
Thuja occidentalis;zapadnjačka tuja;američka tuja,tuja,zapadna tuja,smrekuša
Thuja orientalis;istočnjačka tuja;istočna tuja
Abies alba;jela;bijela jela,vitka jela,borika,cmrek,cmrok,jalva,jelić,jelika,jelka,jelovina,jelva,pruca,smrok,hojka,obična jela,vita jela,borika prava
Cedrus atlantica;atlantski cedar;
Cedrus libani;libanonski cedar;cedar,čedar,kedar
Larix decidua;ariš;listopadni ariš,arež,jelva crljena,sosna
Picea omorika;omorika;pančićeva omorika,omora,frenja
Pinus cembra;limba;
Pinus halepensis;bijeli bor;bili bor,sosna,bieli bor,alepski bor
Pinus heldreichii;balkanska munjika;munjika,bor smrč,smrč,munika
Pinus mugo;bor krivulj;kleka,klekovina,borina,običan borić,borić,planinski bor,gorski borovac
Pinus pinaster;primorski bor;morski bor,černi bor,bor crni,borić
Pinus pinea;pinija;pinj,pinjol,pin,bor pitomi,pinja
Pinus strobus;vajmutov bor;američki bor,glatki bor,borovac
Pseudotsuga menziesii;prava duglazija;
Tsuga canadensis;kanadska čuga;
Cryptomeria japonica;kriptomerija;japanski cedar
Ginkgo biloba;ginko;
Taxus baccata;tisa;šumska tisa,čemika plodna,jeličica,tisovina,žvetuljina,tis,evropska tisa,tisenj
Lycopodium annotinum;jednoljetna crvotočina;
Lycopodium clavatum;kijačasta crvotočina;obična crvotočina,prečica,lisičnik,mah od zemlje,mahovina zmijina,mašina od zemlje,preprat divji,samolja,zminja mahovina,lisičjek,crvotočina,lisičak,lisičji rep
Selaginella denticulata;zupčasta selagina;
Selaginella helvetica;helvetska selagina;
Selaginella selaginoides;okruglasta selagina;
Equisetum arvense;poljska preslica;konjski rep,hrastek poljski,voščejnka potočna,rastavić
Equisetum fluviatile;riječna preslica;
Equisetum hyemale;zimska preslica;kositerka,kositernjak,sudoper,trava kositerna
Equisetum palustre;močvarna preslica;žučica,žuka konjska
Equisetum pratense;livadna preslica;
Equisetum ramosissimum;razgranjena preslica;
Equisetum sylvaticum;šumska preslica;
Equisetum telmateia;velika preslica;žučica
Adiantum capillus-veneris;gospin vlasak;paprica,paprat mali,paprat vodeni,paprica vodena,otoka mala,divojački vlas,gospin vlas,paprac,papraca,papraca mala,papraca vodena,papracat vodeni,paprat mala vodena,paprut otočki,prapraca mala,velkostini vlasi,vilini vlasi,vlas zemaljski,vlas ženski,ženski las,gospina kosa,venerina kosa
Anogramma leptophylla;tankolisni goliš;goliš
Cheilanthes acrostica;bujadski vodjerak;mirisavi vodjerak,papratac
Cheilanthes persica;iranski vodjerak;mirisavi vodjerak
Notholaena marantae;ljuskasta pljevika;pljevika
Asplenium adiantum-nigrum;dubna;crna slezenica,papraca,paprad od rasta,paprat dubnja,paprat od hrasta,praprat od hrasta
Asplenium onopteris;šiljasta slezenica;
Asplenium ceterach;zlatinjak;ljekovita slezenica,ljekoviti zlatinjak,zlatnjak,paprat od kamena,paprat slana,zlatna paprat,sljezenica,jetra vodena,papraca zlatna,papracat zlatni,paprad zlatni,paprat manja zlatna,paprat runjava,paratca,preprutec,preprutica,rumenka,slatinčak,trava od slezene,zlatarica,slezenica
Asplenium fissum;rascjepkana slezenica;rascjepkana slezinica
Asplenium hybridum;križani zlatinjak;kvarnerski jelenak
Asplenium lepidum;prhutava slezenica;
Asplenium petrarchae;petrarkina slezenica;
Asplenium ruta-muraria;zidna slezenica;otoka,ruta zidna,vlasica crljena,zanoktika
Asplenium sagittatum;streličasti jelenak;streličasti jelenjak,primorski jelenak,sredozemni jelenak
Asplenium scolopendrium;obični jelenak;obični jelenjak,jezičec,trava slezena,jelenjak,jelenje uho,jelenov zajik,jelinski jezik,jeljenji jezik,jezičac,jezičina,paprat jamska,paprat menja,papratina po pristavah,sklezenjak,slezeničnjak,slezenjaš,striljika,školopendra,uho,ustrilj,uvis,zaik jelenji,mečji jezik,jelenak,jelenski jezik
Asplenium trichomanes;smeđa slezenica;okruglasta slezenica,ribica,kameni paprat,papratka mala,paprac,papraca kamina,paprad mala kamina,papradca mala,paprat otočka,papratca mala,papratka,paprut otočki,vlasak,vlasica
Asplenium trichomanes-ramosum;zelena slezenica;ribica mala,ribica
Blechnum spicant;vlasasta rebrača;rebrača,ribica široka
Cyrtomium falcatum;srpasta papratica;
Dryopteris carthusiana;tresetna paprat;
Dryopteris dilatata;velika paprat;
Dryopteris filix-mas;šumska paprat;obična paprat,paprat,pampunka,paprut samac,praprat,preprot divji,preprut,navala,glistovnica,muška paprat,bujuška,divji peprut
Dryopteris pallida;blijeda paprat;
Polystichum aculeatum;bodljikava papratnjača;
Polystichum braunii;dlakava papratnjača;
Polystichum lonchitis;kopljasta papratnjača;paprat oštra
Polystichum setiferum;čekinjava papratnjača;šumska papratnjača
Hymenophyllum tunbrigense;tankolist;omrežnjača
Pteridium aquilinum;orlovska bujad;bujad,papratina,praprut,stelja,paprat dubuja,bujad planinska,paprac velika,paprad,paprad od rasta,paprat dubnja,paprat gorski,paprat veli,preprut pitoma,preprut velika,paprat,velika paprat,bujača,gorska paprat,orlova paprat
Marsilea quadrifolia;četverolisna raznorotka;raznorotka
Pilularia globulifera;loptarka;
Botrychium lunaria;pravi mjesečinac;perasti mjesečinac,misečina,misečina manja,sirišnjak,većebio
Botrychium matricariifolium;perolisni mjesečinac;kamiličnolisni mjesečinac
Ophioglossum lusitanicum;zimski jednolist;luzitanski jednolist
Ophioglossum vulgatum;ljetni jednolist;obični jednolist,jednolista,jezik zmijinski,srebrenjača,svitnjak,zminska travčica
Osmunda regalis;kraljevski pujanik;pujanik,kraljevska paprat
Polypodium cambricum;južnjačka oslad;
Polypodium vulgare;obična oslad;oslad,slatki korijen,slatka paprat,bujad sladka,kamenica črlena,korenčec,korenčec sladki,korience sladko,lezibaba,paparaca,paprac,paprac sladka,paprad od rasta,paprat dubnja,papradca sladka,paprat stinena,paprat svetog Ivana,paprut sladka,praprac sladka,prapradca sladka,praprut medena,preprutina sladka,stelica sladka,zlatin,sladić
Salvinia natans;plivajuća nepačka;nepačka
Phegopteris connectilis;bukova zelenka;
Thelypteris palustris;močvarna zelenka;
Athyrium distentifolium;alpska bujadika;obična bujadika,ljubor
Cystopteris alpina;planinska papratka;
Cystopteris fragilis;nježna papratka;krhka papratka
Cystopteris montana;brdska papratka;
Gymnocarpium dryopteris;kisela lastreja;glatka paprat
Gymnocarpium robertianum;vapnenačka lastreja;
Matteuccia struthiopteris;smeđa stela;stela,bujadika
Woodsia ilvensis;crvenkasta vudsija;
Dryopteris villarii;mirisava paprat;paprat,paprat mala
Athyrium filix-femina;šumska bujadika;ženska navala,sitna navala,bujadika,papratka
Abutilon theophrasti;Teofrastov mračnjak;konoplja duga,konopljika duga,sljez krstati,sljez veliki,žutošljez,mračnjak pusteni
Acer campestre;poljski javor;maklin,klenić,kjen,klen,makljen,maklen
Acer monspessulanum;maklen;šestilj,klien,šestil,klen,žestila,javor trokrpasti
Acer negundo;negundovac;javor perasti,američki javor,bijeli javor,pajavac
Acer obtusatum;planinski javor;crveni javor,javor crni,javorac,javor gluvač,javor gluhač
Acer palmatum;dlanastolisni javor;
Acer platanoides;javor mliječ;mlječak,mlečec,mličik,mlječika,javor,mliečić,mliječni javor,mliječ,javor mlječ
Acer pseudoplatanus;gorski javor;bijeli javor,javor,trslika bila,brdski javor
Acer tataricum;žestik;pasliska,žestila,javor crljenoperkas,žestikovina,žestika
Aceras anthropophorum;okruglastogomoljasta bezostruška;
Achillea ageratum;slavljika;slobodnik,trava julia,zelje rusno,piknjasti jezičac
Achillea clavennae;bijeli stolisnik;stolisnik,kijačasta hajdučica,srebrnasta hajdučica,svilasti jezičac,srebernasti jezičac
Achillea collina;brežuljkavi stolisnik;
Achillea crithmifolia;motrikolistni jezičac;
Achillea distans;okriljeni stolisnik;
Achillea millefolium;obični stolisnik;armanj,hrb,jezičec puranski,jutrocel,kačak,koromačić,kostrešica,kostretica,koštenica,kunica,malankovica,mekušica,mrmanj,mrmonj,rebrac,reza,sporiš vodeni,stolika,stoliska,stolist,stolista,stolistac,tučija trava,zavrelec,zevrelčec,božje drvce,jezičec,kostenica,kunji rep,rman,rmanj,stolistni jezičac,sporiš,hajdučka trava,stolisnik,hajdučica,hiljadarka
Achillea nobilis;plemeniti stolisnik;konjogriz,pozemljušni jezičac
Achillea pannonica;panonski stolisnik;kunji rep,stolistnik,kostenica,sporišć
Achillea ptarmica;močvarni stolisnik;kihavica,kijavica,rebrac
Achillea setacea;bodljasti stolisnik;šćetinavi jezičac
Achnatherum calamagrostis;planinska hrapavica;
Acinos alpinus;planinska gorska metvica;vričak,ljupka,planinska marulja
Acinos arvensis;kamenjarska gorska metvica;
Aconitum lycoctonum;omik;smrt pesja,vuči koren
Aconitum napellus;modri jedić;jedić,čemer vučji,krupiš,kupris,lisjak,nalep,nalip,volina,vučji čemer,dragoljub,klobučac repnasti,klobučić,modri jelić
Aconitum variegatum;šareni jedić;klobučac šarenkasti
Acorus calamus;obični iđirot;babad,babji štapi,balad,čemin vodeni,iđirot,kalmus,komuš,korien mirisni,kulmiš,mačic vodeni,mačić vodeni,manturin cvit,sabljar,sabljica vodena,šaš mirisavi,šaš smrdući,trska mirišava,trstika mirisna,vodeni božur,zelje tatarsko,ljiljan žuti
Actaea spicata;klasasta habulica;naliep klasnasti,vučji korijen,habulica,resnik,crnuša
Adenophora liliifolia;mirisava žlijezdača;žlijezdača
Adenostyles alliariae;siva ljepika;kapuzić,pustena liepika
Adenostyles alpina;gola ljepika;podgrižena liepika
Adonis aestivalis;ljetni gorocvijet;gorocviet ljagasti,zubnjak,predence,kukolj,ognjenica,zečji mak,plamenčić
Adonis annua;jesenski gorocvijet;plamenčić,steža,vočak
Adonis flammea;žarkocrveni gorocvijet;gorocviet žarki
Adonis vernalis;proljetni gorocvijet;gorocvijet,šporiš,pomočnica,gorocviet ljuskarasti,gorocvet
Adoxa moschatellina;obična moškovica;moškovica
Aegilops cylindrica;valjkasta ostika;
Aegilops geniculata;jajolika ostika;gorčica
Aegilops neglecta;jajolika ostika;
Aegilops triuncialis;triuncijalna ostika;
Aegopodium podagraria;podagrasti jarčevac;poganica,jarčevac trojnolistni,bazjan,sedmolist,regoča
Aesculus hippocastanum;divlji kesten;kostanj divji,madal sedmoperac
Aetheorhiza bulbosa;lukovičasti dimak;runjava trava,runjavica
Aethionema saxatile;kamenjarska kamnica;kamnica mesnata,kamnica
Aethusa cynapium;divlji peršin;divlji peršun,kokoruša,kozji pršek,petrožil divji,petržil pasji,trubelika drobna,peršunak trolapni,mala kukuta
Agrimonia eupatoria;obična turica;oskorušica,čičak jančki,turika,slavulja divja,korevina,ježinica,smedjozeleni škrobotac,bieli marin,čičak,čičak drobni,čičak janjeći,čičak mali,džigerčnjak,kilovec,kravica,oskorica velika,oskorušica velja,otrov kačji,repnik,slavljika divja,torica mala,toričica,turica meka,turica modra,turčica,turin korien,vsega sveta zdravje,dubačac,turica,maljava čestoslavica,skorušica trosrha,petrovac,trava cijelog svijeta,skorušica
Elymus caninus;pasja pirika;
Elymus hispidus;srednja pirika;žitnjak,srednja pirevina
Elymus farctus;bodljikava pirika;
Elymus repens;puzava pirika;tkalac,vornica,pirevina,troskot,pirac,obična pirika,perika,perikovina,glisnik,pirika,pasja pšenica
Agrostemma githago;poljski kukolj;ćurek,kukolj,trava čarnik,opačan git,gravor,gopa,gugolj,kokol,kukuj,kumin crni,opačan,kukolj čupavi,kukolj
Agrostis alpina;planinska rosulja;alpska rosulja
Agrostis canina;pasja rosulja;
Agrostis castellana;bizantska rosulja;
Agrostis gigantea;bijela rosulja;
Agrostis rupestris;kamenjarska rosulja;
Agrostis stolonifera;troskot;rosulja,ovsenica
Agrostis capillaris;obična rosulja;rosulja nacrvena,troskot,šopulja,roguša
Ailanthus altissima;žljezdasti pajasen;bogač,rajsko stablo,jelš,pajesan žljezdasti,pajasen
Aira caryophyllea;karanfilska metlača;
Aira elegantissima;vlasasta metlača;
Ajuga chamaepitys;žuta ivica;dubačac veliki,trava iva,crvić,čečunka,mali bor,paćice,perušica,pjenušica,viva podvodna,viva ženska,ivica,trava Jiva,žutkasta ivica
Ajuga genevensis;ledinska ivica;pčelnjak,podtrnka,podtrnkica,ranjčec,pčelinjak,trava svetog Roka,trociepna ivica
Ajuga pyramidalis;piramidalna ivica;duraća,stari kruh
Ajuga reptans;puzajuća ivica;ivica,gavez mali,sodula manja,rano zelje,salata vodena,sodula mačija,vriežovita ivica,ivica puzava
Alcea rosea;ružičasti bijeli sljez;grudnišnik,djilj,kožoder,malovesak pitomi,malvaroza,ružica prikomorska,slez crveni,slez vrtni,sljez divji,trandofilj,trandovilje,rumen cvijet,sliez bieli velecvjetni,trandavilje,pitomi sljez,sljez crveni
Alchemilla glabra;planinska vrkuta;
Alchemilla glaucescens;dlakava vrkuta;križani gospin plašt
Aldrovanda vesiculosa;mjehurasta vodena stupica;aldrovanda
Alisma gramineum;travoliki žabočun;
Alisma lanceolatum;suličasti žabočun;suličastolisni žabočun
Alisma plantago-aquatica;obični žabočun;bokva podvodna,čobanska sviralica,sviralka,šmir,šumska brada,žablji žličnjak,vodena bokvica
Alliaria petiolata;ljekovita češnjača;češnjarka,lučac,lukovac,lučica,češnjačka trava,češnjaka,češnjakovka,češnjeva travka,hren rogati,kremuč,ostvar pesji,otrovnjak pesji,travka česnjova,češnjača srdcolistna,češnjača
Allium ampeloprasum;veliki luk;luk divji,purić,lučac,lučec,luk vinogradski,porjak vinogradski,purić divji vinogradski,lozji luk
Allium angulosum;bridasti luk;
Allium atropurpureum;grimizni luk;
Allium carinatum;hrptasti luk;
Allium cirrhosum;lijepi luk;
Allium flavum;žuti luk;
Allium nigrum;crni luk;
Allium oleraceum;zeljasti luk;
Allium pulchellum;lijepi luk;
Allium rotundum;okruglasti luk;lukovać
Allium sativum;češnjak;luk,luk bili,luk češan,česan,luk česan,česno,češanj,česnjak,češanj pasji,češenj,luk česnoviti,bijeli luk,beli luk
Allium schoenoprasum;vlasac;dobrinjak,luk drobnjak,porina,luk vlasac,luk drobnjak,vlašac,drobnjak
Allium scorodoprasum;češnjakasti luk;pazduh
Allium lusitanicum;sijedi luk;brdski luk
Allium sphaerocephalon;glavasti luk;
Allium suaveolens;mirisavi luk;mirisni luk
Allium ursinum;crijemuž;luk divji,crimoš,crimuz,crimuža,čeremuš,čremuš,luk medvjedji,luk pasji,pasji česanj,divlji luk,crijemuš,sremuš,medvjeđi luk
Allium victorialis;planinski luk;česan zmajski,česan kačji,češnjak šumski,češnjak zminski,luk zmijin,luk česan zmijnji,luk česan divji
Allium vineale;vinogradski luk;žbun divlji,lučac pravi
Alnus glutinosa;crna joha;jalša,jošva,jovina,dragušica,crna jova
Alnus incana;bijela joha;bijela jova
