Dianthus seguieri
Thesium pyrenaicum
Crocosmia aurea
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Calyptocarpus vialis
Oxalis violacea
Geranium carolinianum
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Monarda citriodora
Callirhoe involucrata
Ruellia caroliniensis
Mimosa strigillosa
Castilleja indivisa
Eustoma exaltatum
Liatris punctata
Melampodium leucanthum
Argemone albiflora
Plectocephalus americanus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Opuntia aciculata
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Hesperaloe parviflora
Justicia americana
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Solanum carolinense
Teucrium cubense
Liatris squarrosa
Chelone lyonii
Asarum canadense
Moricandia arvensis
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Epifagus virginiana
Epigaea repens
Conoclinium coelestinum
Gentiana andrewsii
Gentianopsis crinita
Hypericum frondosum
Impatiens pallida
Kalmia angustifolia
Lewisia rediviva
Lilium grayi
Linum medium
Menispermum canadense
Monarda media
Monarda fistulosa
Nymphaea odorata
Panax trifolius
Pedicularis canadensis
Phoradendron leucarpum
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Sabatia angularis
Sambucus canadensis
Sanguisorba canadensis
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Caesalpinia pulcherrima
Symphyotrichum laeve
Adonis annua
Clematis crispa
Paeonia delavayi
Callianthemum coriandrifolium
Callianthemum anemonoides
Callianthemum angustifolium
Delphinium oxysepalum
Aconitum moldavicum
Aconitum lasiocarpum
Amorpha canescens
Youngia japonica
Dermatophyllum secundiflorum
Prunus caroliniana
Anemone berlandieri
Nemophila menziesii
Oenothera laciniata
Senecio ampullaceus
Salvia lyrata
Phlox pilosa
Phlox amplifolia
Phlox divaricata
Phlox glaberrima
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Sisyrinchium bellum
Cirsium horridulum
Galeopsis angustifolia
Hymenopappus scabiosaeus
Mazus pumilus
Verbena halei
Sabatia campestris
Commelina erecta
Neptunia plena
Indigofera miniata
Strophostyles helvola
Oenothera drummondii
Phalaenopsis sanderiana
Leucophyllum frutescens
Nepeta nepetella
Zeuxine strateumatica
Balsamorhiza sagittata
Euryops pectinatus
Gerbera jamesonii
Hydrangea involucrata
Podophyllum peltatum
Penstemon digitalis
Ceanothus thyrsiflorus
Kaempferia rotunda
Plectranthus fruticosus
Wisteria frutescens
Echium candicans
Limbarda crithmoides
Aubrieta deltoidea
Crassocephalum crepidioides
Cattleya trianae
Lobelia siphilitica
Petunia integrifolia
Alstroemeria pelegrina
Vernonia arkansana
Eutrochium maculatum
Ipomoea pandurata
Eriophyllum lanatum
Gynostemma pentaphyllum
Spathoglottis plicata
Dendrobium kingianum
Erythronium grandiflorum
Ramonda serbica
Mertensia maritima
Rhododendron macrophyllum
Geranium cinereum
Iris japonica
Chrysanthemum indicum
Linnaea borealis
Hymenocallis littoralis
Spiraea chamaedryfolia
Kalanchoe crenata
Polemonium pulcherrimum
Astilbe rubra
Cerinthe major
Magnolia Ã— soulangeana
Androsace septentrionalis
Valeriana tuberosa
Dahlia Ã— pinnata
Freesia laxa
Dianella tasmanica
