Acer platanoides
Achillea ptarmica
Aconitum napellus
Acorus calamus
Actaea spicata
Adonis aestivalis
Adonis vernalis
Adoxa moschatellina
Aegonychon purpurocaeruleum
Aegopodium podagraria
Aethusa cynapium
Agrimonia eupatoria
Agrostemma githago
Ajuga genevensis
Ajuga reptans
Alisma plantago-aquatica
Alliaria petiolata
Allium angulosum
Allium vineale
Alyssum alyssoides
Alyssum montanum
Amelanchier ovalis
Anacamptis morio
Anagallis arvensis
Anchusa officinalis
Andromeda polifolia
Anemone hepatica
Anemone narcissiflora
Anemone nemorosa
Anemone ranunculoides
Anemone sylvestris
Angelica sylvestris
Antennaria dioica
Anthemis arvensis
Anthericum liliago
Anthericum ramosum
Anthyllis vulneraria
Aphanes arvensis
Aquilegia vulgaris
Arabis alpina
Arabis hirsuta
Arctium minus
Arctium tomentosum
Arenaria serpyllifolia
Aristolochia clematitis
Arnica montana
Artemisia vulgaris
Arum maculatum
Aruncus dioicus
Asarum europaeum
Aster amellus
Astragalus glycyphyllos
Astrantia major
Atriplex prostrata
Atropa belladonna
Ballota nigra
Barbarea vulgaris
Berberis vulgaris
Bidens tripartita
Biscutella laevigata
Bistorta officinalis
Bryonia dioica
Buddleja davidii
Buglossoides arvensis
Buphthalmum salicifolium
Bupleurum falcatum
Butomus umbellatus
Calla palustris
Calystegia sepium
Camelina sativa
Campanula glomerata
Campanula patula
Campanula persicifolia
Campanula rapunculoides
Campanula trachelium
Capsella bursa-pastoris
Cardamine amara
Cardamine pratensis
Carduus acanthoides
Carduus nutans
Carlina acaulis
Centaurea jacea
Centaurea montana
Centaurea scabiosa
Centaurium erythraea
Cephalanthera damasonium
Cephalanthera rubra
Cerastium arvense
Cerastium fontanum
Cerastium semidecandrum
Ceratophyllum demersum
Chaerophyllum bulbosum
Chaerophyllum temulum
Chelidonium majus
Chenopodium album
Chimaphila umbellata
Chlorophytum comosum
Cicuta virosa
Circaea alpina
Circaea lutetiana
Cirsium acaule
Cirsium oleraceum
Cirsium palustre
Cirsium vulgare
Clematis alpina
Clematis vitalba
Clinopodium acinos
Clinopodium vulgare
Colchicum autumnale
Conium maculatum
Consolida regalis
Convallaria majalis
Convolvulus arvensis
Conyza canadensis
Cornus mas
Cornus sanguinea
Corydalis cava
Corydalis solida
Cotoneaster integerrimus
Crataegus germanica
Crataegus monogyna
Crepis biennis
Crepis capillaris
Crepis paludosa
Crocus vernus
Cruciata laevipes
Cuscuta epithymum
Cypripedium calceolus
Cytisus nigricans
Cytisus scoparius
Dactylorhiza incarnata
Dactylorhiza purpurella
Daphne cneorum
Daphne mezereum
Daphne striata
Datura stramonium
Descurainia sophia
Dianthus carthusianorum
Dianthus deltoides
Dianthus gratianopolitanus
Dianthus seguieri
Dianthus superbus
Dictamnus albus
Digitalis grandiflora
Digitalis lutea
Digitalis purpurea
Diplotaxis muralis
Diplotaxis tenuifolia
Dipsacus fullonum
Draba aizoides
Drosera anglica
Drosera rotundifolia
Echium vulgare
Elodea canadensis
Empetrum nigrum
Epilobium hirsutum
Epilobium montanum
Epilobium parviflorum
Epilobium roseum
Epipactis helleborine
Epipactis palustris
Erica tetralix
Erigeron acris
Erodium cicutarium
Eryngium campestre
Eryngium maritimum
Erysimum cheiranthoides
Eupatorium cannabinum
Euphorbia cyparissias
Euphorbia dulcis
Euphorbia exigua
Euphorbia helioscopia
Euphorbia palustris
Euphorbia peplus
Euphorbia verrucosa
Euphrasia rostkoviana
Euphrasia stricta
Filago minima
Filipendula vulgaris
Forsythia suspensa
Fragaria moschata
Fragaria vesca
Fragaria viridis
Frangula alnus
Fumaria officinalis
Gagea lutea
Gagea pratensis
Gagea villosa
Galanthus nivalis
Galeopsis tetrahit
Galinsoga parviflora
Galinsoga quadriradiata
Galium aparine
Galium mollugo
Galium palustre
Galium verum
Genista germanica
Genista pilosa
Genista sagittalis
Genista tinctoria
Gentiana asclepiadea
Gentiana lutea
Gentiana pneumonanthe
Gentiana verna
