Abies alba,abete bianco
Abutilon theophrasti,cencio molle
Acalypha virginica,acalifa
Acer campestre,acero oppio
Acer monspessulanum,acero minore
Acer negundo,acero americano
Acer obtusatum,acero d’ungheria
Acer platanoides,acero riccio
Acer pseudoplatanus,acero di monte
Aceras anthropophorum,ballerina
Achillea ageratum,millefoglio agerato
Achillea collina,millefoglio comune
Achillea ligustica,millefoglio ligure
Achillea macrophylla,millefoglio delle radure
Achillea millefolium,millefoglio montano
Achillea mucronulata,millefoglio appenninico
Achillea nobilis,millefoglio nobile
Achillea ptarmica,millefoglio palustre
Achillea stricta,millefoglio subalpino
Achillea tenorii,millefoglio di tenore
Achillea tomentosa,millefoglio giallo
Achnatherum calamagrostis,cannella argentea
Acinos alpinus,acino alpino
Acinos arvensis,acino annuale
Aconitum,aconito screziato
Aconitum lamarckii,aconito di lamarck
Aconitum napellus,aconito napello
Aconitum variegatum,aconito screziato
Acorus calamus,calamo aromatico
Actaea spicata,barba di capra
Adenostyles alliariae,cavolaccio alpino
Adenostyles australis,cavolaccio meridionale
Adenostyles glabra,cavolaccio verde
Adiantum capillus-veneris,capelvenere comune
Adonis aestivalis,adonide estiva
Adonis annua,adonide annua
Adonis flammea,adonide scarlatta
Adonis microcarpa,adonide a fiore piccolo
Adoxa moschatellina,moscatella
Aegilops geniculata,cerere comune
Aegilops neglecta,cerere con 3 reste
Aegilops triuncialis,cerere allungata
Aegopodium podagraria,girardina silvestre
Aeluropus litoralis,panocchina dei lidi
Aesculus hippocastanum,ippocastano
Aetheorrhiza bulbosa,radicchiella bulbosa
Aethionema saxatile,erba storna carnicina
Aethusa cynapium,cicuta aglina
Agave americana,agave
Agrimonia eupatoria,agrimonia comune
Agropyron caninum,gramigna dei boschi
Agropyron elongatum,gramigna allungata
Agropyron intermedium,gramigna intermedia
Agropyron junceum,gramigna delle spiagge
Agropyron pungens,gramigna litoranea
Agropyron repens,gramigna comune
Agrostemma githago,gittaione comune
Agrostis alpina,cappellini delle alpi
Agrostis canina,cappellini delle torbiere
Agrostis castellana,cappellini di castiglia
Agrostis maritima,cappellini marittimi
Agrostis rupestris,cappellini della silice
Agrostis salmantica,cappellini di salamanca
Agrostis stolonifera,cappellini comuni
Agrostis tenuis,cappellini delle praterie
Ailanthus altissima,albero del paradiso
Aira caryophyllea,nebbia maggiore
Aira cupaniana,nebbia di cupani
Aira elegans,nebbia minore
Ajuga chamaepitys,iva artritica
Ajuga genevensis,iva ginevrina
Ajuga iva,iva moscata
Ajuga pyramidalis,iva pirimidale
Ajuga tenorii,iva acaule
Alcea rosea,malvone roseo
Aldrovanda vesiculosa,aldrovanda
Alisma lanceolatum,mestolaccia lanceolata
Alisma plantago-aquatica,piantaggine acquatica
Alliaria petiolata,alliaria comune
Allium amethystinum,aglio ametistino
Allium ampeloprasum,porraccio
Allium angulosum,aglio angoloso
Allium carinatum,aglio delle streghe
Allium cepa,cipolla
Allium chamaemoly,aglio minuscolo
Allium cirrhosum,aglio grazioso
Allium commutatum,aglio delle isole
Allium ericetorum,aglio giallastro
Allium flavum,aglio giallo
Allium fuscum,aglio scuro
Allium lusitanicum,aglio montano
Allium neapolitanum,aglio napoletano
Allium nigrum,aglio maggiore
Allium oleraceum,aglio selvatico
Allium pallens,aglio di coppoler
Allium paniculatum,aglio a pannocchia
Allium pendulinum,aglio pendulo
Allium roseum,aglio roseo
Allium rotundum,aglio arrotondato
Allium sardoum,aglio di sardegna
Allium sativum,aglio comune
Allium sphaerocephalon,aglio delle bisce
Allium subhirsutum,aglio pelosetto
Allium tenuiflorum,aglio a fiori sottili
Allium trifoliatum,aglio a tre foglie
Allium triquetrum,aglio selvatico
Allium ursinum,allio orsino
Allium vineale,aglio delle vigne
Alnus glutinosa,ontano comune
Alnus incana,ontano bianco
Alnus viridis,ontano verde
Alopecurus bulbosus,coda di topo bulbosa
Alopecurus geniculatus,coda di topo ginocchiata
Alopecurus gerardi,coda di topo alpina
Alopecurus myosuroides,coda di topo dei campi
Alopecurus pratensis,coda di topo comune
Alopecurus utriculatus,coda di topo ovata
Althaea cannabina,altea canapina
Althaea hirsuta,altea ispida
Althaea officinalis,altea comune
Althenia filiformis,altenia
Alyssoides utriculata,vesicaria maggiore
Alyssum alyssoides,alisso annuo
Alyssum minus,alisso campestre
Alyssum montanum,alisso montanino
Amaranthus albus,amaranto bianco
Amaranthus chlorostachys,amaranto a spiga verde
Amaranthus cruentus,amaranto cruento
Amaranthus deflexus,amaranto prostrato
Amaranthus graecizans,amaranto blito-minore
Amaranthus lividus,amaranto livido
Amaranthus retroflexus,amaranto comune
