Allium angulosum
Amelanchier ovalis
Anthericum ramosum
Aphanes arvensis
Arctium minus
Arctium tomentosum
Cerastium semidecandrum
Chaerophyllum bulbosum
Chrysosplenium alternifolium
Cirsium oleraceum
Cotoneaster integerrimus
Crepis biennis
Crepis paludosa
Daphne striata
Dianthus seguieri
Diplotaxis muralis
Epilobium roseum
Erigeron acris
Euphorbia dulcis
Euphorbia verrucosa
Euphrasia rostkoviana
Filago minima
Gagea pratensis
Gagea villosa
Galium palustre
Genista sagittalis
Gentianopsis ciliata
Hieracium murorum
Holosteum umbellatum
Hypericum hirsutum
Hypericum humifusum
Hypericum pulchrum
Jacobaea erucifolia
Knautia dipsacifolia
Lathraea squamaria
Leontodon hispidus
Lotus maritimus
Melampyrum arvense
Melampyrum sylvaticum
Mercurialis annua
Mycelis muralis
Neottia ovata
Neslia paniculata
Orchis pallens
Orobanche ramosa
Papaver argemone
Pedicularis palustris
Pedicularis sylvatica
Petasites albus
Peucedanum oreoselinum
Peucedanum palustre
Polygala amara
Polygala comosa
Polygonatum verticillatum
Prenanthes purpurea
Pulsatilla patens
Pulsatilla pratensis
Pyrola media
Ranunculus lanuginosus
Ranunculus trichophyllus
Rhinanthus angustifolius
Rhinanthus minor
Ribes alpinum
Ribes petraeum
Rorippa amphibia
Rubus saxatilis
Scleranthus annuus
Scorzoneroides autumnalis
Scrophularia umbrosa
Scutellaria minor
Sedum sexangulare
Senecio ovatus
Senecio viscosus
Silaum silaus
Soldanella carpatica
Stachys germanica
Stellaria alsine
Thesium pyrenaicum
Thlaspi perfoliatum
Trifolium montanum
Turritis glabra
Ulmus laevis
Valeriana dioica
Veronica beccabunga
Calyptocarpus vialis
Tulipa sylvestris
Oxalis violacea
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Pseudofumaria lutea
Aconitum lycoctonum
Callirhoe involucrata
Ruellia caroliniensis
Mimosa strigillosa
Castilleja indivisa
Liatris punctata
Melampodium leucanthum
Argemone albiflora
Plectocephalus americanus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Opuntia aciculata
Hymenocallis liriosme
Lantana urticoides
Hesperaloe parviflora
Justicia americana
Sagittaria latifolia
Sagittaria platyphylla
Froelichia floridana
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Eucnide bartonioides
Teucrium cubense
Liatris squarrosa
Chelone lyonii
Asarum canadense
Moricandia arvensis
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Dicentra cucullaria
Epifagus virginiana
Conoclinium coelestinum
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Heuchera sanguinea
Hypericum frondosum
Impatiens pallida
Lilium grayi
Menispermum canadense
Mitchella repens
Monarda media
Nymphaea odorata
Pedicularis canadensis
Phoradendron leucarpum
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Prunus americana
Sabatia angularis
Salix discolor
Sanguisorba canadensis
Scutellaria integrifolia
Sidalcea malviflora
Doronicum austriacum
Symphyotrichum laeve
Symphyotrichum lanceolatum
Adonis flammea
Adonis annua
Clematis recta
Clematis crispa
Paeonia mascula
Paeonia delavayi
Callianthemum coriandrifolium
Callianthemum anemonoides
Callianthemum angustifolium
Helleborus purpurascens
Nigella arvensis
Isopyrum thalictroides
Actaea europaea
Consolida orientalis
Delphinium oxysepalum
Aconitum anthora
Aconitum firmum
Aconitum moldavicum
Aconitum variegatum
Aconitum lasiocarpum
Aesculus flava
Aesculus pavia
Amorpha canescens
Mirabilis nyctaginea
Dermatophyllum secundiflorum
Prunus caroliniana
Melampyrum nemorosum
Anemone berlandieri
Melampyrum cristatum
Melampyrum barbatum
Senecio ampullaceus
Phlox pilosa
Phlox amplifolia
Phlox glaberrima
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Sisyrinchium bellum
Cirsium horridulum
Gentianella germanica
Cirsium eriophorum
Galeopsis angustifolia
Galeopsis ladanum
Melittis melissophyllum
Orobanche caryophyllacea
Hymenopappus scabiosaeus
Stratiotes aloides
Verbena halei
Sabatia campestris
Romneya coulteri
Neptunia plena
Indigofera miniata
Strophostyles helvola
Oenothera drummondii
Pulmonaria obscura
Phyteuma nigrum
Phyteuma orbiculare
Salvia verticillata
Globularia punctata
Bunias orientalis
Carlina vulgaris
Salvia glutinosa
Phalaenopsis sanderiana
Ostrya carpinifolia
Leucophyllum frutescens
Swertia perennis
Tecoma stans
Chrysosplenium oppositifolium
Himantoglossum hircinum
Nepeta nepetella
Zeuxine strateumatica
Balsamorhiza sagittata
Scilla luciliae
Penstemon digitalis
Begonia cucullata
Plectranthus fruticosus
Echium candicans
Jasminum officinale
Gladiolus palustris
Limbarda crithmoides
Symphyotrichum ericoides
Aubrieta deltoidea
Claytonia perfoliata
Petunia integrifolia
Alstroemeria pelegrina
Vernonia arkansana
Eutrochium maculatum
Eriophyllum lanatum
Satureja hortensis
Gilia tricolor
Puschkinia scilloides
Erythronium grandiflorum
Erythronium dens-canis
Ramonda serbica
Dicentra formosa
Rhododendron macrophyllum
Geranium cinereum
Brugmansia sanguinea
Hymenocallis littoralis
Ornithogalum pyrenaicum
Garrya elliptica
Scandix pecten-veneris
Aquilegia atrata
Aronia melanocarpa
Sempervivum montanum
Anchusa azurea
Thlaspi caerulescens
Geum reptans
Cistus salviifolius
Cardamine bulbifera
