Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Abelia serrata;こつくばねうつぎ;小衝羽根空木
Abelia spathulata;つくばねうつぎ;衝羽根空木
Abelia spathulata var. sanguinea;べにばなのつくばねうつぎ;紅花の衝羽根空木
Abelia x grandiflora;アベリア;花衝羽根空木
Abeliophyllum distichum;うちわのき;団扇の木
Abelmoschus cv.;はなとろろ;花黄蜀葵
Abelmoschus esculentus;オクラ;
Abelmoschus manihot;とろろあおい;黄蜀葵
Abelmoschus moschatus ssp. tuberosus;アベルモスクス・ツベロースス;
Abies firma;もみ;樅
Abies grandis;アメリカおおもみ;アメリカ大樅
Abies homolepis;うらじろもみ;裏白樅
Abies magnifica;カリフォルニアあかもみ;カリフォルニア赤樅
Abies mariesii;おおしらびそ;大白檜曽
Abies sachalinensis;とどまつ;椴松
Abies veitchii;しらびそ;白檜曽
Abrus precatorius;とうあずき;唐小豆
Abutilon avicennae;いちび;青麻
Abutilon megapotamicum;うきつりぼく;浮釣木
Abutilon x hybridum;アブチロン・ヒブリドゥム;
Acacia aneura;アカシア・アネウラ;
Acacia baileyana;ぎんようアカシア;銀葉アカシア
Acacia boormanii;アカシア・ブアマニー;
Acacia cornigera;アカシア・コルニゲラ;
Acacia cultriformis;さくかくばアカシア;三角葉
Acacia dealbata;ふさアカシア;房アカシア
Acacia farnesiana;きんごうかん;金合歓
Acacia longifolia;ながばアカシア;長葉アカシア
Acacia melanoxylon;アカシア・メラノキシロン;
Acacia podalyriifolia;パールアカシア;
Acacia saligna;アカシア・サリグナ;
Acacia vestita;アカシア・ウェスティータ;
Acalypha australis;えのきぐさ;榎草
Acalypha hispida;べにひものき;紅紐の木
Acalypha hispida cv. Alba;しろひものき;白紐の木
Acalypha reptans;キャッツテール;
Acalypha wilkesiana;アカリファ・ウィルケシアナ;
Acanthocereus tetragonus;アカントケレウス・テトラゴヌス;
Acanthopanax divaricatus;けやまうこぎ;
Acanthopanax sciadophylloides;こしあぶら;漉し油
Acanthopanax sieboldianus;ひめうこぎ;姫五加
Acanthopanax spinosus;やまうこぎ;山五加
Acanthus ilicifolius;アカンツス・イリキフォリウス;水柊
Acanthus mollis;アカンツス・モリス;葉薊
Acanthus montanus;アカンツス・モンタヌス;姫葉薊
Acer amoenum;おおもみじ;大紅葉
Acer amoenum cv. Sanguineum;のむらかえで;野村楓
Acer amoenum var. matsumurae;やまもみじ;山紅葉
Acer argutum;あさのはかえで;麻の葉楓
Acer barbatum;サザンシュガーメープル;
Acer buergerianum;とうかえで;唐楓
Acer campestre;こぶかえで;瘤楓
Acer capillipes;ほそえかえで;細柄楓
Acer cappadocicum;もみじいたや;紅葉板屋
Acer carpinifolium;ちどりのき;千鳥の木
Acer cissifolium;みつでかえで;三手楓
Acer crataegifolium;うりかえで;瓜楓
Acer diabolicum;かじかえで;梶楓
Acer distylum;ひとつばかえで;一つ葉楓
Acer ginnala;からこぎかえで;鹿子木楓
Acer grandidentanum;キャニオンメープル;
