Aegonychon purpurocaeruleum
Alyssum alyssoides
Alyssum montanum
Anemone narcissiflora
Anthericum liliago
Anthericum ramosum
Arabis alpina
Arabis hirsuta
Arenaria serpyllifolia
Aristolochia clematitis
Arum maculatum
Aruncus dioicus
Aster amellus
Atriplex patula
Atriplex prostrata
Ballota nigra
Biscutella laevigata
Blitum bonus-henricus
Buddleja davidii
Buglossoides arvensis
Buphthalmum salicifolium
Bupleurum falcatum
Camelina sativa
Carduus nutans
Centaurea montana
Cerastium fontanum
Cerastium semidecandrum
Chaerophyllum bulbosum
Chaerophyllum temulum
Chlorophytum comosum
Circaea alpina
Circaea lutetiana
Cirsium palustre
Clematis alpina
Clinopodium acinos
Cotoneaster integerrimus
Crepis biennis
Crepis capillaris
Cruciata laevipes
Cytisus nigricans
Daphne cneorum
Daphne striata
Dianthus carthusianorum
Dianthus gratianopolitanus
Dianthus seguieri
Dictamnus albus
Digitalis lutea
Diplotaxis muralis
Diplotaxis tenuifolia
Dipsacus fullonum
Draba aizoides
Drosera anglica
Epilobium montanum
Epilobium parviflorum
Epilobium roseum
Erigeron acris
Eryngium campestre
Euphorbia dulcis
Euphorbia palustris
Filago minima
Forsythia suspensa
Gagea villosa
Galium mollugo
Galium palustre
Genista germanica
Genista pilosa
Genista sagittalis
Gentiana asclepiadea
Gentiana verna
Gentianopsis ciliata
Geranium dissectum
Geranium molle
Geranium palustre
Geranium phaeum
Globularia vulgaris
Gnaphalium sylvaticum
Helianthemum nummularium
Helleborus foetidus
Helleborus niger
Helleborus viridis
Hieracium murorum
Hippocrepis comosa
Holosteum umbellatum
Hypericum calycinum
Hypericum pulchrum
Impatiens glandulifera
Impatiens parviflora
Inula salicina
Isatis tinctoria
Jacobaea erucifolia
Knautia dipsacifolia
Laburnum anagyroides
Lactuca serriola
Lamium amplexicaule
Lathyrus aphaca
Lathyrus linifolius
Lathyrus tuberosus
Lemna gibba
Leontodon hispidus
Lepidium campestre
Leucojum aestivum
Leucojum vernum
Ligustrum vulgare
Linum catharticum
Lotus maritimus
Malva moschata
Medicago sativa
Melampyrum arvense
Melampyrum sylvaticum
Mercurialis annua
Moehringia trinervia
Monotropa hypopitys
Muscari neglectum
Myriophyllum spicatum
Narcissus poeticus
Oenothera biennis
Oenothera parviflora
Ophrys fuciflora
Ornithogalum umbellatum
Orobanche minor
Orobanche ramosa
Orthilia secunda
Oxalis corniculata
Persicaria hydropiper
Persicaria lapathifolia
Petasites albus
Peucedanum oreoselinum
Pimpinella major
Pinguicula alpina
Polygala amara
Polygala chamaebuxus
Polygala vulgaris
Potamogeton crispus
Potentilla alba
Potentilla argentea
Potentilla neumanniana
Potentilla sterilis
Prenanthes purpurea
Primula elatior
Pulsatilla alpina
Pulsatilla vernalis
Pyrola media
Pyrola minor
Ranunculus flammula
Ranunculus lanuginosus
Ranunculus lingua
Ranunculus montanus
Ranunculus trichophyllus
Reseda lutea
Rhinanthus alectorolophus
Rhinanthus minor
Rhododendron ferrugineum
Rhododendron hirsutum
Rorippa amphibia
Rorippa palustris
Rosa arvensis
Rosa villosa
Rubus plicatus
Rumex alpinus
Rumex conglomeratus
Rumex obtusifolius
Sagina procumbens
Salicornia europaea
Sanguisorba minor
Sanicula europaea
Saxifraga granulata
Saxifraga paniculata
Scilla bifolia
Scrophularia umbrosa
Scutellaria minor
Sedum album
Sedum sexangulare
Senecio ovatus
Senecio viscosus
Silaum silaus
Silene nutans
Sisymbrium officinale
Soldanella carpatica
Solidago canadensis
Sonchus asper
Sorbus aria
Sorbus torminalis
Stachys germanica
Stellaria alsine
Stellaria graminea
Stellaria nemorum
Teesdalia nudicaulis
Telekia speciosa
Teucrium chamaedrys
Thalictrum aquilegiifolium
Thalictrum flavum
Thesium pyrenaicum
Trifolium medium
Trifolium resupinatum
Turritis glabra
Ulex europaeus
Valeriana dioica
Verbascum lychnitis
Verbascum phoeniceum
Veronica anagallis-aquatica
Veronica arvensis
Veronica austriaca
Veronica beccabunga
Veronica persica
Veronica triphyllos
Viburnum lantana
Vicia sepium
Vicia tetrasperma
Viola biflora
Viola reichenbachiana
