Aegonychon purpurocaeruleum
Amelanchier ovalis
Anemone narcissiflora
Arabis alpina
Arum maculatum
Aruncus dioicus
Biscutella laevigata
Bryonia dioica
Buddleja davidii
Buphthalmum salicifolium
Bupleurum falcatum
Carlina acaulis
Clematis alpina
Crepis capillaris
Crocus vernus
Dactylorhiza majalis
Daphne cneorum
Daphne striata
Dianthus gratianopolitanus
Dianthus seguieri
Digitalis lutea
Dipsacus fullonum
Draba aizoides
Eryngium campestre
Euphorbia dulcis
Gagea villosa
Genista germanica
Genista sagittalis
Gentiana asclepiadea
Gentiana verna
Gentianopsis ciliata
Globularia vulgaris
Helleborus foetidus
Helleborus viridis
Heracleum sphondylium
Holosteum umbellatum
Hylotelephium telephium
Hypericum humifusum
Hypericum pulchrum
Hypericum tetrapterum
Ilex aquifolium
Jacobaea erucifolia
Knautia dipsacifolia
Lavandula angustifolia
Leucojum aestivum
Lotus maritimus
Lysimachia europaea
Lysimachia punctata
Melampyrum arvense
Mentha spicata
Muscari neglectum
Nasturtium officinale
Oenothera parviflora
Ononis spinosa
Ophrys fuciflora
Orobanche minor
Orobanche ramosa
Petasites albus
Polygala amara
Polygala chamaebuxus
Potentilla alba
Potentilla pusilla
Potentilla sterilis
Prenanthes purpurea
Pulsatilla alpina
Pulsatilla vernalis
Pulsatilla vulgaris
Ranunculus fluitans
Ranunculus montanus
Rhinanthus alectorolophus
Rosa arvensis
Rumex alpinus
Rumex conglomeratus
Salicornia europaea
Saxifraga paniculata
Scutellaria minor
Senecio ovatus
Silaum silaus
Silene latifolia
Silene viscaria
Soldanella carpatica
Sorbus aria
Sorbus torminalis
Stachys germanica
Stellaria alsine
Thesium pyrenaicum
Thlaspi perfoliatum
Ulex europaeus
Valeriana dioica
Veronica austriaca
Viola biflora
Crocosmia aurea
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Calyptocarpus vialis
Leontopodium nivale
Eranthis hyemalis
Oxalis violacea
Geranium carolinianum
Oenothera speciosa
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Pseudofumaria lutea
Aconitum lycoctonum
Nymphaea caerulea
Jacaranda mimosifolia
Monarda citriodora
Magnolia grandiflora
Callirhoe involucrata
Ruellia caroliniensis
Coreopsis lanceolata
Albizia julibrissin
Mimosa strigillosa
Trachelospermum jasminoides
Castilleja indivisa
Phlox drummondii
Eustoma exaltatum
Rudbeckia hirta
Liatris punctata
Melampodium leucanthum
Sisyrinchium angustifolium
Argemone albiflora
Plectocephalus americanus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Asclepias tuberosa
Tradescantia virginiana
Physostegia virginiana
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Sagittaria latifolia
Sagittaria platyphylla
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Nelumbo lutea
Bacopa monnieri
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Solanum carolinense
Teucrium cubense
Trifolium incarnatum
Liatris squarrosa
Asclepias syriaca
Chelone lyonii
Anaphalis margaritacea
Arisaema triphyllum
Artemisia tridentata
Asarum canadense
Moricandia arvensis
Campsis radicans
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Cornus canadensis
Cornus florida
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Dicentra cucullaria
Dionaea muscipula
Echinacea purpurea
Epifagus virginiana
Epigaea repens
Eschscholzia californica
Conoclinium coelestinum
Fragaria virginiana
Gaultheria procumbens
Gelsemium sempervirens
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Hamamelis virginiana
Heuchera sanguinea
Hibiscus moscheutos
Hypericum frondosum
Impatiens pallida
Iris versicolor
Kalmia angustifolia
Kalmia latifolia
Lewisia rediviva
Lilium grayi
Linum medium
Lobelia cardinalis
Berberis aquifolium
Menispermum canadense
Mitchella repens
Monarda media
Monarda fistulosa
Nymphaea odorata
Panax trifolius
Passiflora incarnata
Pedicularis canadensis
Phoradendron leucarpum
Phytolacca americana
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Prunus americana
Prunus serotina
Rhus glabra
Rosa carolina
Rubus odoratus
Sabatia angularis
Salix discolor
Sambucus canadensis
Sanguisorba canadensis
Sarracenia purpurea
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Caesalpinia pulcherrima
Amaranthus hybridus
Rhodiola rosea
Doronicum austriacum
Symphyotrichum laeve
Symphyotrichum novae-angliae
Symphyotrichum lanceolatum
Adonis flammea
Adonis annua
Clematis integrifolia
Clematis tangutica
Clematis viticella
Clematis crispa
Paeonia officinalis
Paeonia mascula
Paeonia lactiflora
Paeonia delavayi
Callianthemum coriandrifolium
Callianthemum anemonoides
Callianthemum angustifolium
Helleborus purpurascens
Calendula arvensis
Nigella arvensis
Nigella damascena
Isopyrum thalictroides
Actaea europaea
Consolida ajacis
Consolida orientalis
Delphinium oxysepalum
Aconitum anthora
Aconitum firmum
Aconitum moldavicum
Aconitum variegatum
Aconitum lasiocarpum
Aesculus flava
Aesculus glabra
Aesculus parviflora
Aesculus pavia
Amorpha canescens
Amorpha fruticosa
Cardamine hirsuta
Youngia japonica
Bougainvillea glabra
Mirabilis jalapa
Mirabilis nyctaginea
Dermatophyllum secundiflorum
Prunus caroliniana
Anemone berlandieri
Paulownia tomentosa
Melampyrum barbatum
Nemophila menziesii
Oenothera laciniata
Senecio ampullaceus
Salvia lyrata
Phlox pilosa
Phlox amplifolia
Phlox divaricata
Phlox glaberrima
Phlox paniculata
Phlox subulata
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Sisyrinchium bellum
Cirsium horridulum
Gentianella germanica
Cirsium eriophorum
Galega officinalis
Galeopsis angustifolia
Melittis melissophyllum
Orobanche caryophyllacea
Orchis purpurea
Hyacinthus orientalis
Lonicera sempervirens
Hymenopappus scabiosaeus
