Thalictrum aquilegiifolium;Akeleiefrøstjerne;
Veronica spicata;Aksveronika;
Trifolium hybridum;Alsikekløver;
Epilobium adenocaulon;Amerikamjølke;Amerikamjølke
Pulsatilla patens;Amerikansk kubjelle;
Trifolium montanum;Bakkekløver;
Clinopodium acinos;Bakkemynte;
Veronica arvensis;Bakkeveronika;
Trollius europaeus;Ballblom;Knappsoleie
Cardamine amara;Bekkekarse;
Stellaria alsine;Bekkestjerneblom;
Allium scorodoprasum;Bendelløk;
Senecio sylvaticus;Bergsvineblom;
Sedum acre;Bitter bergknapp;
Polygala amarella;Bitterblåfjær;
Tofieldia pusilla;Bjønnbrodd;
Veronica polita;Blankveronika;
Geranium sanguineum;Blodstorkenebb;
Sanguisorba officinalis;Blodtopp;
Vaccinium uliginosum;Blokkebær;
Campanula rotundifolia;Blåklokke;
Phyllodoce caerulea;Blålyng;
Melampyrum nemorosum;Blåmarimjelle;
Hepatica nobilis;Blåveis;
Papaver dubium;Brakkvalmue;
Epipactis helleborine;Bredflangre;
Trifolium spadiceum;Brunkløver;
Hyoscyamus niger;Bulmeurt;
Hesperis matronalis;Dagfiol;
Myosotis laxa;Dikeforglemmegei;
Galium trifidum;Dvergmaure;
Viola canina;Engfiol;
Myosotis scorpioides;Engforglemmegei;
Cardamine pratensis;Engkarse;Melkeblomst,teblomst,karseblomst
Campanula patula;Engklokke;
Dianthus deltoides;Engnellik;
Silene vulgaris;Engsmelle;
Ranunculus acris;Engsoleie;
Geranium pratense;Engstorkenebb;
Rumex acetosa;Engsyre;
Scleranthus annuus;Ettårsknavel;
Ranunculus reptans;Evjesoleie;
Campanula persicifolia;Fagerklokke;
Centaurea scabiosa;Fagerknoppurt;
Verbascum thapsus;Filtkongslys;
Nymphaea tetragona;Finsk nøkkerose;
Hypericum maculatum;Firkantperikum;
Viola biflora;Fjellfiol;
Polemonium caeruleum;Fjellflokk;
Thalictrum alpinum;Fjellfrøstjerne;
Diapensia lapponica;Fjellpryd;
Silene acaulis;Fjellsmelle;
Oxyria digyna;Fjellsyre;
Silene suecica;Fjelltjæreblom;
Veronica alpina;Fjellveronika;
Armeria maritima;Fjørekoll;
Hypochaeris maculata;Flekkgrisøre;
Dactylorhiza maculata;Flekkmarihand;
Potentilla crantzii;Flekkmure;
Bidens tripartita;Flikbrønsle;
Lamium hybridum;Fliktvetann;
Myosotis stricta;Forglemmegei;
Chenopodium polyspermum;Frømelde;
Neottia nidus-avis;Fuglereir;
Tragopogon pratensis;Geitskjegg;
Conium maculatum;Giftkjeks;
Pimpinella saxifraga;Gjeldkarve;
Capsella bursa-pastoris;Gjetertaske;
Stellaria graminea;Gresstjerneblom;
Scorzonera humilis;Griseblad;
Plantago major;Groblad;
Ranunculus flammula;Grøftesoleie;
Bidens radiata;Grønnbrønsle;
Dactylorhiza viride;Grønnkurle;
Thalictrum flavum;Gul frøstjerne;
Galeopsis speciosa;Guldå;
Trifolium aureum;Gullkløver;
Galium verum;Gulmaure;
Saxifraga aizoides;Gulsildre;
Lathyrus pratensis;Gulskolm;
Potentilla anserina;Gåsemure;
Corydalis solida;Hagelerkespore;
Sonchus oleraceus;Haredylle;
Trifolium arvense;Harekløver;
Bistorta vivipara;Harerug;
Asarum europaeum;Hasselurt;
Lappula deflexa;Hengepiggfrø;
Anthriscus sylvestris;Hundekjeks;
Cynoglossum officinale;Hundetunge;
Silene latifolia;Hvit jonsokblom;
Nymphaea alba;Hvit nøkkerose;
Cephalanthera longifolia;Hvit skogfrue;
Sedum album;Hvitbergknapp;
Trifolium repens;Hvitkløver;
Galium boreale;Hvitmaure;
Laserpitium latifolium;Hvitrot;
Pilosella Pilosellina;Hårsveve;
Persicaria lapathifolia;Hønsegras;
Ajuga pyramidalis;Jonsokkoll;
Fumaria officinalis;Jordrøyk;
Parnassia palustris;Jåblom;
Acorus calamus;Kalmusrot;
Matricaria chamomilla;Kamilleblom;
Cassiope tetragona;Kantlyng;
Carum carvi;Karve;
Lythrum salicaria;Kattehale;
Ranunculus lingua;Kjempesoleie;
Galium aparine;Klengemaure;
Senecio viscosus;Klistersvineblom;
Goodyera repens;Knerot;
Pedicularis sceptrum-carolinum;Kongsspir;
Corallorhiza trifida;Korallrot;
Centaurea cyanus;Kornblomst;
Glechoma hederacea;Korsknapp;
Clinopodium vulgare;Kransmynte;
Ranunculus polyanthemos;Krattsoleie;
Empetrum nigrum;Krekling;
Rumex crispus;Krushøymol;
Potentilla reptans;Krypmure;
Ranunculus repens;Krypsoleie;
Galeopsis tetrahit;Kvassdå;
Polemonium acutiflorum;Lappflokk;
Petasites hybridus;Legepestrot;
Melilotus officinalis;Legesteinkløver;
Veronica officinalis;Legeveronika;
Corydalis intermedia;Lerkespore;
Linnaea borealis;Linnea;
Ranunculus cassubicus;Lundnyresoleie;
Stellaria holostea;Lundstjerneblom;
Pulmonaria obscura;Lungeurt;
Levisticum officinale;Løpstikke;
Primula veris;Marianøkleblom;
Cypripedium calceolus;Marisko;
Fragaria vesca;Markjordbær;
Artemisia campestris;Markmalurt;
Moehringia trinervia;Maurarve;
Chenopodium album;Meldestokk;
Peucedanum palustre;Melkerot;
Pulsatilla vernalis;Mogop;
Impatiens parviflora;Mongolspringfrø;
Cassiope hypnoides;Moselyng;
Fragaria moschata;Moskusjordbær;
Lamium amplexicaule;Myktvetann;
Viola palustris;Myrfiol;
Epipactis palustris;Myrflangre;
Galium palustre;Myrmaure;
Fragaria viridis;Nakkebær;
Platanthera bifolia;Nattfiol;
Campanula trachelium;Nesleklokke;
Bidens cernua;Nikkebrønsle;
Potentilla norvegica;Norsk mure;
Ranunculus auricomus;Nyresoleie;
Echium vulgare;Ormehode;
Bistorta officinalis;Ormerot;
Pastinaca sativa;Pastinakk;
Sagittaria sagittifolia;Pilblad;
Leucanthemum vulgare;Prestekrage;
Allium ursinum;Ramsløk;
Dryas octopetala;Reinrose;
Rhodiola rosea;Rosenrot;
Anthyllis vulneraria;Rundbelg;
Bunias orientalis;Russekål;
Stellaria longifolia;Rustjerneblom;
Fritillaria meleagris;Rutelilje;
Silene dioica;Rød jonsokblom;
Actaea erythrocarpa;Rød trollbær;
Trifolium pratense;Rødkløver;
Lamium purpureum;Rødtvetann;
Arenaria serpyllifolia;Sandarve;
Viola rupestris;Sandfiol;
Dianthus arenarius;Sandnellik;
Cardaminopsis arenosa;Sandskrinneblom;
Sanicula europaea;Sanikkel;
Cicuta virosa;Selsnepe;
Gnaphalium norvegicum;Setergråurt;
Astragalus alpinus;Setermjelt;
Corydalis nobilis;Sibirlerkespore;
Dianthus superbus;Silkenellik;
Lathraea squamaria;Skjellrot;
Hieracium Umbellata;Skjermsvever;
Gnaphalium sylvaticum;Skoggråurt;
Trifolium medium;Skogkløver;
Mycelis muralis;Skogsalat;
Stellaria nemorum;Skogstjerneblom;
Geranium sylvaticum;Skogstorkenebb;
Oxytropis campestris ssp. sordida;Skredmjelt;
Cornus suecica;Skrubbær;
Aegopodium podagraria;Skvallerkål;
Angelica sylvestris;Sløke;
Plantago lanceolata;Smalkjempe;
Arctium minus;Småborre;
Galium spurium;Småklengemaure;
Melampyrum sylvaticum;Småmarimjelle;
Geranium pusillum;Småstorkenebb;
Rumex acetosella;Småsyre;
Hylotelephium telephium;Smørbukk;
Veronica serpyllifolia;Snauveronika;
Saxifraga nivalis;Snøsildre;
Gentiana nivalis;Snøsøte;
Salsola kali;Sodaurt;
Helianthemum nummularium;Solrose;
Myrrhis odorata;Spansk kjørvel;
Geranium robertianum;Stankstorkenebb;
Viola tricolor;Stemorsblomst;
Sonchus asper;Stivdylle;
Chenopodium bonus-henricus;Stolthenrikmelde;
Viola epipsila;Stor myrfiol;
Rhinanthus angustifolius;Storengkall;
Campanula latifolia;Storklokke;
Melampyrum pratense;Stormarimjelle;
Galium album;Stormaure;
Listera ovata;Stortveblad;
Ranunculus peltatus;Storvassoleie;
Veronica longifolia;Storveronika;
Honckenya peploides;Strandarve;
Tripleurospermum maritimum;Strandbalderbrå;
Glaux maritima;Strandkryp;
Angelica archangelica;Strandkvann;
Crambe maritima;Strandkål;
Cakile maritima;Strandreddik;
Galium uliginosum;Sumpmaure;
Bartsia alpina;Svarttopp;
Arabidopsis suecica;Svensk skrinneblom;
Iris pseudacorus;Sverdlilje;
Gypsophila fastigiata;Såpeslør;
Saponaria officinalis;Såpeurt;
Potentilla argentea;Sølvmure;
Dactylorhiza sambucina;Søstermarihånd;
Atriplex prostrata;Tangmelde;
Potentilla erecta;Tepperot;
Pinguicula vulgaris;Tettegras;
Ranunculus sceleratus;Tiggersoleie;
Lotus corniculatus;Tiriltunge;
Campanula glomerata;Toppklokke;
Linaria vulgaris;Torskemunn;
Vaccinium oxycoccos;Tranebær;
Erodium cicutarium;Tranehals;
Actaea spicata;Trollbær;
Cicerbita alpina;Turt;
Bellis perennis;Tusenfryd;
Centaurium littorale;Tusengyllen;
