Acer campestre;Acer campestre;190224
Acer platanoides;Acer platanoides;190027
Acer pseudoplatanus;Acer pseudoplatanus;190028
Achillea millefolium;Achillea millefolium;189722
Achillea ptarmica;Achillea ptarmica;189873
Aconitum napellus;Aconitum napellus;190555
Acorus calamus;Acorus calamus;190578
Actaea spicata;Actaea spicata;190334
Adonis aestivalis;Adonis aestivalis;190033
Adonis vernalis;Adonis vernalis;190011
Adoxa moschatellina;Adoxa moschatellina;189898
Aegonychon purpurocaeruleum;Aegonychon purpurocaeruleum;190143
Aegopodium podagraria;Aegopodium podagraria;189717
Aethusa cynapium;Aethusa cynapium;189705
Agrimonia eupatoria;Agrimonia eupatoria;190424
Agrostemma githago;Agrostemma githago;190487
Ajuga genevensis;Ajuga genevensis;190057
Ajuga reptans;Ajuga reptans;190060
Alchemilla vulgaris;Alchemilla vulgaris;190105
Alisma plantago-aquatica;Alisma plantago-aquatica;190387
Alliaria petiolata;Alliaria petiolata;189754
Allium angulosum;Allium angulosum;190638
Allium ursinum;Allium ursinum;189960
Allium vineale;Allium vineale;190488
Alyssum alyssoides;Alyssum alyssoides;189989
Alyssum montanum;Alyssum montanum;190006
Amelanchier ovalis;Amelanchier ovalis;189987
Anacamptis morio;Anacamptis morio;190129
Anagallis arvensis;Anagallis arvensis;190626
Anchusa officinalis;Anchusa officinalis;190133
Andromeda polifolia;Andromeda polifolia;190630
Anemone hepatica;Anemone hepatica;189913
Anemone narcissiflora;Anemone narcissiflora;189847
Anemone nemorosa;Anemone nemorosa;189958
Anemone ranunculoides;Anemone ranunculoides;189945
Anemone sylvestris;Anemone sylvestris;189846
Angelica archangelica;Angelica archangelica;189718
Angelica sylvestris;Angelica sylvestris;189802
Antennaria dioica;Antennaria dioica;189878
Anthemis arvensis;Anthemis arvensis;189827
Anthericum liliago;Anthericum liliago;189870
Anthericum ramosum;Anthericum ramosum;189871
Anthriscus sylvestris;Anthriscus sylvestris;189859
Anthyllis vulneraria;Anthyllis vulneraria;190269
