Leontopodium nivale
Eranthis hyemalis
Oxalis violacea
Geranium carolinianum
Oenothera speciosa
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Pseudofumaria lutea
Aconitum lycoctonum
Nymphaea caerulea
Melissa officinalis
Jacaranda mimosifolia
Monarda citriodora
Magnolia grandiflora
Callirhoe involucrata
Ruellia caroliniensis
Coreopsis lanceolata
Albizia julibrissin
Mimosa strigillosa
Trachelospermum jasminoides
Castilleja indivisa
Phlox drummondii
Eustoma exaltatum
Rudbeckia hirta
Liatris punctata
Melampodium leucanthum
Sisyrinchium angustifolium
Argemone albiflora
Plectocephalus americanus
Helianthus annuus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Asclepias tuberosa
Tradescantia virginiana
Physostegia virginiana
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Sagittaria latifolia
Sagittaria platyphylla
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Nelumbo lutea
Bacopa monnieri
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Solanum carolinense
Teucrium cubense
Trifolium incarnatum
Liatris squarrosa
Bidens frondosa
Ambrosia trifida
Asclepias syriaca
Chelone lyonii
Anaphalis margaritacea
Arisaema triphyllum
Artemisia tridentata
Asarum canadense
Moricandia arvensis
Campsis radicans
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Citrus sinensis
Cornus canadensis
Cornus florida
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Cypripedium reginae
Dicentra cucullaria
Dionaea muscipula
Echinacea purpurea
Epifagus virginianus
Epigaea repens
Eschscholzia californica
Conoclinium coelestinum
Fragaria virginiana
Gaultheria procumbens
Gelsemium sempervirens
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Hamamelis virginiana
Heuchera sanguinea
Hibiscus moscheutos
Hypericum frondosum
Impatiens pallida
Iris versicolor
Kalmia angustifolia
Kalmia latifolia
Lewisia rediviva
Lilium grayi
Linum medium
Lobelia cardinalis
Berberis aquifolium
Menispermum canadense
Mitchella repens
Monarda media
Monarda fistulosa
Nymphaea odorata
Oxalis stricta
Panax trifolius
Parthenocissus quinquefolia
Passiflora incarnata
Pedicularis canadensis
Phoradendron leucarpum
Phytolacca americana
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Prunus americana
Prunus serotina
Rhus glabra
Rhus typhina
Rosa carolina
Rubus odoratus
Sabatia angularis
Salix discolor
Sambucus canadensis
Sanguisorba canadensis
Sarracenia purpurea
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Caesalpinia pulcherrima
Veronica serpyllifolia
Amaranthus hybridus
