Aegonychon purpurocaeruleum
Aegopodium podagraria
Ajuga genevensis
Allium angulosum
Alyssum alyssoides
Alyssum montanum
Amelanchier ovalis
Anchusa officinalis
Andromeda polifolia
Anemone hepatica
Anemone narcissiflora
Anemone nemorosa
Anemone ranunculoides
Anthericum ramosum
Arabis alpina
Arabis hirsuta
Arctium tomentosum
Aster amellus
Astrantia major
Bidens tripartita
Biscutella laevigata
Buglossoides arvensis
Buphthalmum salicifolium
Campanula glomerata
Campanula patula
Campanula persicifolia
Campanula rotundifolia
Campanula trachelium
Carduus acanthoides
Carduus nutans
Carlina acaulis
Centaurea montana
Centaurea scabiosa
Cerastium arvense
Chamerion angustifolium
Chimaphila umbellata
Chrysosplenium alternifolium
Cicuta virosa
Circaea alpina
Cirsium acaule
Cirsium oleraceum
Clematis alpina
Clinopodium acinos
Comarum palustre
Corydalis solida
Cotoneaster integerrimus
Crepis biennis
Crepis paludosa
Cytisus nigricans
Daphne cneorum
Daphne mezereum
Daphne striata
Dianthus carthusianorum
Dianthus deltoides
Dianthus gratianopolitanus
Dianthus seguieri
Dianthus superbus
Dictamnus albus
Digitalis lutea
Diplotaxis muralis
Draba aizoides
Empetrum nigrum
Epilobium montanum
Epilobium roseum
Draba verna
Euphorbia dulcis
Euphorbia palustris
Euphrasia rostkoviana
Euphrasia stricta
Filago minima
Forsythia suspensa
Fragaria viridis
Fritillaria meleagris
Gagea lutea
Gagea pratensis
Gagea villosa
Genista germanica
Genista pilosa
Genista sagittalis
Gentiana asclepiadea
Gentiana verna
Gentianopsis ciliata
Geranium palustre
Geranium phaeum
Geranium pratense
Geranium sylvaticum
Geum rivale
Gnaphalium sylvaticum
Gymnadenia conopsea
Gypsophila muralis
Helianthemum nummularium
Hesperis matronalis
Hieracium murorum
Hippocrepis comosa
Hippuris vulgaris
Holosteum umbellatum
Hydrocharis morsus-ranae
Hylotelephium telephium
Hypericum hirsutum
Hypericum maculatum
Hypericum montanum
Hypericum pulchrum
Hypericum tetrapterum
Impatiens parviflora
Inula salicina
Iris sibirica
Jacobaea erucifolia
Knautia dipsacifolia
Lamium galeobdolon
Lathraea squamaria
Lathyrus linifolius
Lathyrus tuberosus
Lathyrus vernus
Lepidium campestre
Leucojum aestivum
Leucojum vernum
Lonicera xylosteum
Lotus maritimus
Lunaria rediviva
Lysimachia europaea
Lysimachia nummularia
Lysimachia punctata
Lysimachia thyrsiflora
Maianthemum bifolium
Malva alcea
Malva moschata
Matricaria discoidea
Melampyrum arvense
Melampyrum pratense
Melampyrum sylvaticum
Mercurialis perennis
Moehringia trinervia
Moneses uniflora
Monotropa hypopitys
Muscari botryoides
Mycelis muralis
Myosotis scorpioides
Myosotis sylvatica
Neottia ovata
Neslia paniculata
Nuphar pumila
Oenanthe aquatica
Oenothera parviflora
Ophrys fuciflora
Orthilia secunda
Parnassia palustris
Pedicularis palustris
Pedicularis sylvatica
Petasites albus
Peucedanum palustre
Phyteuma spicatum
Pimpinella major
Pimpinella saxifraga
Pinguicula alpina
Plantago media
Polygala amara
Polygala chamaebuxus
Polygala comosa
Polygonatum verticillatum
Potentilla argentea
Potentilla pusilla
Potentilla sterilis
Prenanthes purpurea
Primula farinosa
Prunella grandiflora
Pulsatilla alpina
Pulsatilla patens
Pulsatilla vernalis
Pulsatilla vulgaris
Pyrola media
Pyrola minor
Pyrola rotundifolia
Ranunculus auricomus
Ranunculus fluitans
Ranunculus lanuginosus
Ranunculus lingua
Ranunculus montanus
Ranunculus trichophyllus
Rhinanthus alectorolophus
Rhinanthus angustifolius
Rhododendron ferrugineum
Rhododendron hirsutum
Rhododendron tomentosum
Ribes alpinum
Ribes petraeum
Rorippa amphibia
Rorippa palustris
Rosa arvensis
Rosa villosa
Rubus caesius
Rubus plicatus
Rubus saxatilis
Rumex alpinus
Salvia pratensis
Saxifraga paniculata
Scheuchzeria palustris
Scilla bifolia
Scorzoneroides autumnalis
Scrophularia umbrosa
Securigera varia
Sedum sexangulare
Senecio ovatus
Senecio viscosus
Silaum silaus
Silene dioica
Silene latifolia
Silene nutans
Silene viscaria
Soldanella carpatica
Sonchus arvensis
Stachys recta
Stellaria alsine
Stellaria graminea
Stellaria holostea
Stellaria nemorum
Teesdalia nudicaulis
Telekia speciosa
Thalictrum aquilegiifolium
Thesium pyrenaicum
Thlaspi perfoliatum
Tragopogon pratensis
Trifolium aureum
Tripleurospermum inodorum
Trollius europaeus
Turritis glabra
Ulmus laevis
Vaccinium uliginosum
Verbascum densiflorum
Verbascum lychnitis
Verbascum nigrum
Verbascum phoeniceum
Veronica austriaca
Vicia tetrasperma
Viola hirta
Viola palustris
Viola reichenbachiana
Crocosmia aurea
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Gaillardia pulchella
Calyptocarpus vialis
Tulipa sylvestris
Eranthis hyemalis
Oxalis violacea
Oxalis stricta
Geranium carolinianum
Oenothera speciosa
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Monarda citriodora
Callirhoe involucrata
Ruellia caroliniensis
Coreopsis lanceolata
Mimosa strigillosa
Castilleja indivisa
Phlox drummondii
Eustoma exaltatum
Rudbeckia hirta
Liatris punctata
Melampodium leucanthum
Sisyrinchium angustifolium
Argemone albiflora
Plectocephalus americanus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Asclepias tuberosa
Tradescantia virginiana
Physostegia virginiana
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Sagittaria latifolia
Sagittaria platyphylla
Froelichia floridana
Saururus cernuus
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Phyla nodiflora
Eucnide bartonioides
Solanum carolinense
Teucrium cubense
Liatris squarrosa
Asclepias syriaca
Chelone lyonii
Anaphalis margaritacea
Arisaema triphyllum
Artemisia tridentata
Asarum canadense
Moricandia arvensis
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Cornus canadensis
Cornus florida
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Cypripedium acaule
Cypripedium parviflorum
Cypripedium reginae
Dicentra cucullaria
Epifagus virginiana
Epigaea repens
Conoclinium coelestinum
Fragaria virginiana
Gaultheria procumbens
Gelsemium sempervirens
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Hamamelis virginiana
Heuchera sanguinea
Hibiscus moscheutos
Hypericum frondosum
Impatiens pallida
Iris versicolor
Kalmia angustifolia
Kalmia latifolia
Lewisia rediviva
Lilium grayi
Linum medium
Lobelia cardinalis
Berberis aquifolium
Menispermum canadense
Mitchella repens
Monarda media
Monarda fistulosa
Nymphaea odorata
Panax trifolius
Passiflora incarnata
Pedicularis canadensis
Phoradendron leucarpum
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Prunus americana
Rhus glabra
Rubus odoratus
Sabatia angularis
Sambucus canadensis
Sanguisorba canadensis
Sarracenia purpurea
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Rhodiola rosea
Doronicum austriacum
Symphyotrichum laeve
Symphyotrichum novae-angliae
Symphyotrichum lanceolatum
Adonis flammea
Clematis integrifolia
Clematis recta
Clematis tangutica
Clematis viticella
Clematis crispa
Paeonia suffruticosa
Paeonia officinalis
Paeonia mascula
Paeonia lactiflora
Paeonia delavayi
Callianthemum coriandrifolium
Callianthemum anemonoides
Callianthemum angustifolium
Helleborus purpurascens
Nigella sativa
Isopyrum thalictroides
Actaea europaea
Consolida orientalis
Delphinium elatum
Delphinium oxysepalum
Aconitum anthora
Aconitum firmum
Aconitum moldavicum
Aconitum variegatum
Aconitum lasiocarpum
Aesculus flava
Aesculus glabra
Aesculus parviflora
Aesculus pavia
Amorpha canescens
Amorpha fruticosa
Veronica longifolia
Potentilla norvegica
Mirabilis nyctaginea
Dermatophyllum secundiflorum
Prunus caroliniana
Melampyrum nemorosum
Anemone berlandieri
Melampyrum cristatum
Melampyrum barbatum
Nemophila menziesii
Oenothera laciniata
Senecio ampullaceus
Salvia lyrata
Phlox pilosa
Phlox amplifolia
Phlox divaricata
Phlox glaberrima
Phlox paniculata
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Sisyrinchium bellum
Cirsium horridulum
Cuscuta europaea
Geranium pyrenaicum
Gentianella germanica
Galeopsis angustifolia
Galeopsis ladanum
Orobanche caryophyllacea
Neotinea ustulata
Orchis purpurea
Lonicera sempervirens
Hymenopappus scabiosaeus
Trapa natans
Reynoutria japonica
Erigeron annuus
Mazus pumilus
Bergenia crassifolia
Viola mandshurica
Verbena halei
Sabatia campestris
Romneya coulteri
Commelina erecta
Neptunia plena
Indigofera miniata
Strophostyles helvola
Oenothera drummondii
Phacelia tanacetifolia
Pulmonaria obscura
Phyteuma nigrum
Phyteuma orbiculare
Echinops sphaerocephalus
Salvia verticillata
Globularia punctata
Bunias orientalis
Carlina vulgaris
Salvia glutinosa
Utricularia australis
Phalaenopsis sanderiana
Ostrya carpinifolia
Ruellia simplex
Leucophyllum frutescens
Swertia perennis
Chrysosplenium oppositifolium
Himantoglossum hircinum
Ipomoea violacea
Nepeta nepetella
Zeuxine strateumatica
Balsamorhiza sagittata
Euryops pectinatus
Scilla luciliae
Oenothera fruticosa
Hieracium umbellatum
Hydrangea involucrata
Podophyllum peltatum
Penstemon digitalis
Kaempferia rotunda
Begonia cucullata
Iberis sempervirens
Plectranthus fruticosus
Wisteria frutescens
Jasminum officinale
Gladiolus palustris
Tragopogon porrifolius
Oenothera rosea
Symphyotrichum ericoides
Aubrieta deltoidea
Crassocephalum crepidioides
Cattleya trianae
Myosotis alpestris
Lobelia siphilitica
Cosmos sulphureus
Rosa spinosissima
Alstroemeria pelegrina
Vernonia arkansana
Eutrochium maculatum
Lathyrus palustris
Ipomoea pandurata
Perilla frutescens
Eriophyllum lanatum
Gynostemma pentaphyllum
Kniphofia uvaria
Spathoglottis plicata
Dendrobium kingianum
Gentiana acaulis
Stevia rebaudiana
Lavatera thuringiaca
Gilia tricolor
Potentilla recta
Puschkinia scilloides
Sesbania grandiflora
Erythronium grandiflorum
Camellia sasanqua
Ramonda serbica
Dicentra formosa
Mertensia maritima
Lilium bulbiferum
Lobelia erinus
Solidago gigantea
Pilosella aurantiaca
Crassula ovata
