Amelanchier ovalis
Anthericum liliago
Anthericum ramosum
Bryonia dioica
Buddleja davidii
Buphthalmum salicifolium
Centaurea jacea
Centaurea montana
Centaurea scabiosa
Cerastium semidecandrum
Chaerophyllum temulum
Circaea alpina
Cirsium acaule
Cotoneaster integerrimus
Crataegus laevigata
Crepis capillaris
Dactylorhiza incarnata
Dactylorhiza majalis
Dianthus gratianopolitanus
Dianthus seguieri
Digitalis lutea
Diplotaxis muralis
Draba aizoides
Drosera anglica
Epilobium roseum
Erica tetralix
Erysimum cheiranthoides
Euphorbia dulcis
Euphrasia stricta
Filago minima
Forsythia suspensa
Galium palustre
Genista germanica
Genista pilosa
Gentianopsis ciliata
Geranium dissectum
Geranium molle
Geranium sanguineum
Globularia vulgaris
Helleborus foetidus
Helleborus niger
Helleborus viridis
Heracleum mantegazzianum
Hieracium murorum
Hippocrepis comosa
Hydrocotyle vulgaris
Hypericum calycinum
Hypericum hirsutum
Hypericum montanum
Hypericum pulchrum
Impatiens glandulifera
Impatiens parviflora
Iris sibirica
Jasione montana
Knautia dipsacifolia
Lathyrus linifolius
Lonicera periclymenum
Lysimachia europaea
Lysimachia thyrsiflora
Malva alcea
Malva moschata
Matricaria discoidea
Melampyrum pratense
Mentha spicata
Myosotis arvensis
Myosotis scorpioides
Myosoton aquaticum
Ophrys fuciflora
Ornithogalum umbellatum
Orobanche minor
Oxalis corniculata
Papaver argemone
Peucedanum palustre
Polygala chamaebuxus
Polygala comosa
Polygala vulgaris
Potamogeton natans
Potentilla alba
Potentilla pusilla
Potentilla sterilis
Pulsatilla patens
Pulsatilla pratensis
Pulsatilla vernalis
Pulsatilla vulgaris
Pyrola media
Pyrola minor
Ranunculus arvensis
Ranunculus auricomus
Ranunculus bulbosus
Ranunculus flammula
Ranunculus fluitans
Ranunculus lanuginosus
Ranunculus lingua
Ranunculus trichophyllus
Rhinanthus alectorolophus
Rhododendron hirsutum
Rhododendron tomentosum
Rosa arvensis
Rubus plicatus
Rubus saxatilis
Sagina procumbens
Salicornia europaea
Saxifraga granulata
Scabiosa columbaria
Scheuchzeria palustris
Scutellaria minor
Sedum album
Senecio ovatus
Senecio viscosus
Sherardia arvensis
Silaum silaus
Soldanella carpatica
Spirodela polyrrhiza
Stellaria alsine
Teesdalia nudicaulis
Thalictrum aquilegiifolium
Thalictrum flavum
Thesium pyrenaicum
Thlaspi perfoliatum
Trifolium medium
Typha angustifolia
Ulex europaeus
Valeriana dioica
Veronica anagallis-aquatica
Veronica arvensis
Veronica triphyllos
Viola palustris
Crocosmia aurea
Agave americana
Argemone mexicana
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Gaillardia pulchella
Calyptocarpus vialis
Tulipa sylvestris
Eranthis hyemalis
Oxalis violacea
Oxalis stricta
Geranium carolinianum
Oenothera speciosa
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Aconitum lycoctonum
Jacaranda mimosifolia
Monarda citriodora
Magnolia grandiflora
Callirhoe involucrata
Ruellia caroliniensis
Coreopsis lanceolata
Albizia julibrissin
Mimosa strigillosa
Trachelospermum jasminoides
Castilleja indivisa
Phlox drummondii
Eustoma exaltatum
Rudbeckia hirta
Liatris punctata
Melampodium leucanthum
Sisyrinchium angustifolium
Argemone albiflora
Plectocephalus americanus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Asclepias tuberosa
Tradescantia virginiana
Physostegia virginiana
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Sagittaria latifolia
Sagittaria platyphylla
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Nelumbo lutea
Bacopa monnieri
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Solanum carolinense
Teucrium cubense
Trifolium incarnatum
Liatris squarrosa
Bidens frondosa
Ambrosia trifida
Asclepias syriaca
Chelone lyonii
Anaphalis margaritacea
Arisaema triphyllum
Artemisia tridentata
Asarum canadense
Moricandia arvensis
Campsis radicans
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Cornus canadensis
Cornus florida
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Cypripedium reginae
Dicentra cucullaria
Dionaea muscipula
Echinacea purpurea
Epifagus virginiana
Epigaea repens
Eschscholzia californica
Conoclinium coelestinum
Fragaria virginiana
Gaultheria procumbens
Gelsemium sempervirens
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Hamamelis virginiana
Heuchera sanguinea
Hibiscus moscheutos
Hypericum frondosum
Impatiens pallida
Iris versicolor
Kalmia angustifolia
Kalmia latifolia
Lewisia rediviva
Lilium grayi
Linum medium
Lobelia cardinalis
