Abelmoschus esculentus;bame;
Abies alba;brad;
Abutilon theophrasti;pristolnic;teişor
Acanthus hungaricus;talpa ursului;
Acer campestre;jugastru;
Acer campestre;jugastru;
Acer monspessulanum;jugastru de Banat;
Acer negundo;arţar american;
Acer platanoides;paltin de câmp;arţar
Acer pseudoplatanus;paltin de munte;
Acer saccharinum;paltin argintiu;
Acer tataricum;arţar tătărăsc;gladiş
Achillea collina;şoricină;
Achillea crithmifolia;limbricariţă;
Achillea distans;coada şoricelului;
Achillea distans;coada şoricelului;
Achillea distans;coada şoricelului;
Achillea distans;coada şoricelului;
Achillea millefolium;coada şoricelului;
Achillea millefolium;coada şoricelului;
Achillea nobilis;coada şoricelului;
Achillea oxyloba;romaniţă de munte;
Achillea ptarmica;rotoţele albe;
Achillea salicifolia;strănutătoare;
Achillea seidlii;coada şoricelului;
Achillea setacea;coada şoricelului;
Clinopodium vulgare;apărătoare;
Aconitum anthora;omag galben;
Aconitum tauricum;omag;
Aconitum variegatum;omag răsfirat;
Aconitum vulparia;omagul lupului;omag galben
Acorus calamus;obligeană;trestie mirositoare
Actaea spicata;orbalţ;iarba Sfantului Cristofor
Adenophora liliifolia;clopoţel cu frunze de crin;
Adenostyles alliariae;ciucuraşi;
Adenostyles alliariae;ciucuraşi;
Adonis aestivalis;cocoşei de câmp;
Adonis annua;ruscuţă tomnatică;cocoşel tomnatic
Adonis flammea;ruscuţă;
Adonis aestivalis;cocoşei de câmp;
Adonis vernalis;ruscuţă de primăvară;
Adoxa moschatellina;frăguţă;
Aegilops cylindrica;ciucure;
Aegopodium podagraria;piciorul caprei;
Aesculus carnea;castan roşu;
Aesculus flava;castan galben;
Aesculus hippocastanum;castan porcesc;
Aethionema saxatile;tăşculiţă;
Aethusa cynapium;pătrunjelul câinelui;
Agrimonia eupatoria;turiţă mare;
Agrimonia eupatoria;turiţă mare;
Agrimonia pilosa;turiţă;
Agropyron cristatum;pir crestat;
Agropyron cristatum;pir crestat;
Agropyron cristatum;pir crestat;
Agropyron cristatum;pir crestat;
Agrostemma githago;neghină;
Agrostis canina;bucăţel;
Agrostis capillaris;iarba vântului;
Agrostis capillaris;iarba vântului;
Agrostis capillaris;iarba vântului;
Agrostis gigantea;iarba câmpului;
Agrostis rupestris;iarba stâncilor;
Agrostis stolonifera;iarba câmpului;
Agrostis vinealis;iarba câmpului;
Ailanthus altissima;cenuşer;
Ajuga chamaepytis;tămâiţă de câmp;
Ajuga chamaepytis;tămâiţă de câmp;
Ajuga genevensis;suliman;
Ajuga laxmannii;barba boierului;
Ajuga reptans;vineţică;
Ornithogalum boucheanum;luşcă;
Alcea pallida;nalbă albă;
Alcea rosea;nalbă de grădină;
Alchemilla acutiloba;creţişoară;creţişoare
Aldrovanda vesiculosa;otrăţel;
Alisma plantago-aquatica;limbariţă;
Alliaria petiolata;usturoiţă;
Allium ampeloprasum;ceapă de vară;usturoi de Albania
Allium ascalonicum;şalotă;haşmă
