Euphorbia verrucosa
Thesium pyrenaicum
Lupinus texensis
Calyptocarpus vialis
Glandularia bipinnatifida
Triodanis perfoliata
Mimosa strigillosa
Castilleja indivisa
Eustoma exaltatum
Liatris punctata
Melampodium leucanthum
Argemone albiflora
Helianthus maximiliani
Eryngium leavenworthii
Zephyranthes drummondii
Erigeron philadelphicus
Hymenocallis liriosme
Lantana urticoides
Berlandiera lyrata
Justicia americana
Froelichia floridana
Malvastrum coromandelianum
Rhexia mariana
Eucnide bartonioides
Teucrium cubense
Liatris squarrosa
Chelone lyonii
Chamaecrista fasciculata
Epifagus virginiana
Conoclinium coelestinum
Gentianopsis crinita
Geranium maculatum
Impatiens pallida
Linum medium
Mitchella repens
Plantago rugelii
Polygaloides paucifolia
Scutellaria integrifolia
Ipomoea cordatotriloba
Prunus caroliniana
Anemone berlandieri
Senecio ampullaceus
Hypoxis hirsuta
Cirsium horridulum
Hymenopappus scabiosaeus
Verbena halei
Sabatia campestris
Neptunia plena
Indigofera miniata
Strophostyles helvola
Nepeta nepetella
Crassocephalum crepidioides
Ipomoea pandurata
Brugmansia sanguinea
