Anthericum liliago
Arctium tomentosum
Aristolochia clematitis
Atriplex prostrata
Ballota nigra
Bupleurum falcatum
Butomus umbellatus
Capsella bursa-pastoris
Cardamine amara
Cerastium fontanum
Cerastium semidecandrum
Chaerophyllum bulbosum
Chaerophyllum temulum
Chimaphila umbellata
Cicuta virosa
Circaea alpina
Clematis alpina
Clematis vitalba
Clinopodium acinos
Consolida regalis
Convolvulus arvensis
Corydalis solida
Crepis paludosa
Cuscuta epithymum
Descurainia sophia
Diplotaxis muralis
Elodea canadensis
Empetrum nigrum
Epilobium roseum
Erica tetralix
Erigeron acris
Draba verna
Euphorbia palustris
Euphrasia stricta
Ficaria verna
Filago minima
Forsythia suspensa
Fumaria officinalis
Gagea pratensis
Galeopsis tetrahit
Galinsoga parviflora
Galinsoga quadriradiata
Galium aparine
Geranium palustre
Globularia vulgaris
Gnaphalium sylvaticum
Gratiola officinalis
Gypsophila muralis
Hesperis matronalis
Hieracium murorum
Hippuris vulgaris
Holosteum umbellatum
Hydrocotyle vulgaris
Hylotelephium telephium
Hypericum hirsutum
Hypericum pulchrum
Inula salicina
Iris sibirica
Jacobaea erucifolia
Jasione montana
Knautia dipsacifolia
Lactuca serriola
Lamium amplexicaule
Lamium galeobdolon
Lathyrus linifolius
Lathyrus tuberosus
Lemna gibba
Lemna trisulca
Lepidium campestre
Lepidium draba
Leucanthemum vulgare
Linum catharticum
Lonicera periclymenum
Lotus pedunculatus
Anchusa arvensis
Lysimachia europaea
Lysimachia nummularia
Lysimachia thyrsiflora
Malva moschata
Matricaria discoidea
Medicago falcata
Melampyrum arvense
Moehringia trinervia
Monotropa hypopitys
Myosotis arvensis
Myosoton aquaticum
Nuphar pumila
Oenanthe aquatica
Ophrys fuciflora
Orobanche minor
Orobanche ramosa
Oxalis corniculata
Papaver argemone
Pedicularis palustris
Pedicularis sylvatica
Persicaria hydropiper
Persicaria lapathifolia
Persicaria maculosa
Phyteuma spicatum
Picris hieracioides
Pimpinella major
Pimpinella saxifraga
Polygonum aviculare
Potamogeton crispus
Potamogeton natans
Potentilla pusilla
Prenanthes purpurea
Prunella vulgaris
Pulsatilla patens
Pulsatilla vernalis
Pyrola media
Pyrola minor
Ranunculus acris
Ranunculus auricomus
Ranunculus fluitans
Ranunculus montanus
Ranunculus sceleratus
Raphanus raphanistrum
Rhinanthus alectorolophus
Rhinanthus angustifolius
Rhinanthus minor
Rhododendron ferrugineum
Rhododendron tomentosum
Ribes petraeum
Rorippa amphibia
Rorippa palustris
Rorippa sylvestris
Rosa arvensis
Rosa villosa
Rubus plicatus
Rumex acetosella
Rumex conglomeratus
Sagina procumbens
Sagittaria sagittifolia
Sambucus racemosa
Saxifraga granulata
Scheuchzeria palustris
Scrophularia umbrosa
Scutellaria minor
Jacobaea vulgaris
Senecio viscosus
Sisymbrium officinale
Solanum nigrum
Soldanella carpatica
Sonchus arvensis
Sparganium erectum
Spergula arvensis
Spirodela polyrrhiza
Stellaria alsine
Stellaria graminea
Teesdalia nudicaulis
Thesium pyrenaicum
Thlaspi arvense
Thymus serpyllum
Tilia cordata
Trifolium aureum
Trifolium medium
Trifolium resupinatum
Typha angustifolia
Ulmus laevis
Verbascum lychnitis
Verbascum thapsus
Veronica anagallis-aquatica
Veronica arvensis
Veronica austriaca
Veronica beccabunga
Veronica hederifolia
Veronica persica
Veronica triphyllos
Vicia tetrasperma
Viola reichenbachiana
Crocosmia aurea
Agave americana
Argemone mexicana
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Gaillardia pulchella
Calyptocarpus vialis
Tulipa sylvestris
Oxalis violacea
Oxalis stricta
Geranium carolinianum
Oenothera speciosa
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Aconitum lycoctonum
Nymphaea caerulea
Jacaranda mimosifolia
Monarda citriodora
Magnolia grandiflora
Callirhoe involucrata
Ruellia caroliniensis
Coreopsis lanceolata
Albizia julibrissin
Mimosa strigillosa
Trachelospermum jasminoides
Castilleja indivisa
Phlox drummondii
Eustoma exaltatum
Rudbeckia hirta
Liatris punctata
Melampodium leucanthum
Sisyrinchium angustifolium
Argemone albiflora
Plectocephalus americanus
Helianthus annuus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Asclepias tuberosa
Tradescantia virginiana
Physostegia virginiana
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Sagittaria latifolia
Sagittaria platyphylla
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Nelumbo lutea
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Solanum carolinense
Teucrium cubense
Trifolium incarnatum
Liatris squarrosa
Bidens frondosa
Ambrosia trifida
Chelone lyonii
Anaphalis margaritacea
Arisaema triphyllum
Artemisia tridentata
Asarum canadense
Moricandia arvensis
Campsis radicans
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Citrus sinensis
Cornus canadensis
Cornus florida
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Cypripedium reginae
Dicentra cucullaria
Epifagus virginiana
Epigaea repens
Eschscholzia californica
Conoclinium coelestinum
Fragaria virginiana
Gaultheria procumbens
Gelsemium sempervirens
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Hamamelis virginiana
Heuchera sanguinea
Hibiscus moscheutos
Hypericum frondosum
Impatiens pallida
Iris versicolor
Kalmia angustifolia
Kalmia latifolia
Lewisia rediviva
Lilium grayi
Linum medium
Lobelia cardinalis
Berberis aquifolium
Menispermum canadense
Mitchella repens
Monarda media
Monarda fistulosa
Nymphaea odorata
Panax trifolius
Parthenocissus quinquefolia
Pedicularis canadensis
Phoradendron leucarpum
Phytolacca americana
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Prunus americana
Prunus serotina
Rhus glabra
Rhus typhina
Rosa carolina
Rubus odoratus
Sabatia angularis
Salix discolor
Sambucus canadensis
Sanguisorba canadensis
Sarracenia purpurea
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Caesalpinia pulcherrima
Veronica serpyllifolia
Amaranthus hybridus
Doronicum austriacum
Symphyotrichum laeve
Symphyotrichum novi-belgii
Symphyotrichum novae-angliae
Symphyotrichum lanceolatum
Adonis flammea
Adonis annua
Clematis integrifolia
Clematis recta
Clematis tangutica
Clematis viticella
Clematis crispa
Paeonia suffruticosa
Paeonia officinalis
Paeonia mascula
Paeonia lactiflora
Paeonia delavayi
Callianthemum coriandrifolium
Callianthemum anemonoides
Callianthemum angustifolium
Helleborus purpurascens
Calendula arvensis
Nigella arvensis
Nigella damascena
Nigella sativa
Isopyrum thalictroides
Actaea europaea
Consolida ajacis
Consolida orientalis
Delphinium elatum
Delphinium oxysepalum
Aconitum anthora
Aconitum firmum
Aconitum moldavicum
Aconitum variegatum
Aconitum lasiocarpum
Aesculus flava
Aesculus glabra
Aesculus parviflora
Aesculus pavia
Amorpha canescens
Amorpha fruticosa
Veronica longifolia
Cardamine hirsuta
Potentilla norvegica
Youngia japonica
Bougainvillea glabra
Mirabilis jalapa
Mirabilis nyctaginea
Dermatophyllum secundiflorum
Prunus caroliniana
Thymus vulgaris
Melampyrum nemorosum
Anemone berlandieri
Paulownia tomentosa
Melampyrum cristatum
Melampyrum barbatum
Nemophila menziesii
Oenothera laciniata
Vicia villosa
Senecio ampullaceus
Salvia lyrata
Phlox pilosa
Phlox amplifolia
Phlox divaricata
Phlox glaberrima
Phlox subulata
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Sisyrinchium bellum
Cirsium horridulum
Cuscuta europaea
Mentha longifolia
Galega officinalis
Galeopsis angustifolia
Melittis melissophyllum
Thymus pulegioides
Orobanche caryophyllacea
Lonicera sempervirens
Hymenopappus scabiosaeus
Acca sellowiana
Trapa natans
Stratiotes aloides
Reynoutria japonica
Erigeron annuus
