Abies alba;bela jelka;
Abies cephalonica;grška jelka;
Abies koreana;korejska jelka;
Abies nordmanniana;kavkaška jelka;
Abies sp.;jelka;
Abies veitchii;Veitcheva jelka;
Abutilon megapotamicum;brazilski slezinec;
Abutilon sp.;slezinec;
Abutilon striatum;progasti slezinec;
Abutilon theophrasti;baržunasti oslez;
Acacia decurrens var. dealbata;akacija;
Acacia lophantha;čopastocvetna akacija;
Acalypha hispida;ščetinava mahljavka;
Acanthopanax sieboldianus;Sieboldov akantopanaks;
Acanthus balcanicus;balkanski bodilj;
Acanthus mollis 'Latifolis';netrnati akant;
Acanthus mollis 'Niger';črni netrnati akant;
Acanthus niger;črni akant;
Acanthus spinosus;trnati akant;
Acer campestre;maklen;
Acer ginnala;amurski javor;
Acer griseum;papirnolubjasti javor;
Acer monspessulanum;trokrpi javor;
Acer negundo;amerikanski javor;
Acer obtusatum;topokrpi javor;
Acer palmatum;pahljačasti javor;
Acer platanoides;ostrolistni javor;
Acer pseudoplatanus;beli javor;
Acer pseudoplatanus 'Atropurpureum';rdečelistni beli javor;
Acer tataricum;tatarski javor;
Achillea atrata;črnikasti rman;
Achillea carpatica;karpatski rman;
Achillea clavenae;planinski pelin;
Achillea clavennae;planinski pelin;
Achillea clypeolata;ščitasti rman;
Achillea collina;hribski rman;
Achillea distans;nazobčani rman;
Achillea erba-rotta subsp. moschata;zahodnoalpski rman;
Achillea filipendulina 'Gold Plate';rman;
Achillea millefolium;navadni rman;
Achillea ptarmica;pehtranov rman;
Achillea serbica;srbski rman;
Achillea sp.;rman;
Achillea sp. cv.;rman;
Achimenes coccinea;škrlatni pladnjevec;krožniček
Achimenes flava;rumeni pladnjevec;krožniček
Achimenes grandiflora;velecvetni pladnjevec;krožniček
Achimenes longiflora var. major;dolgocvetni pladnjevec;krožniček
Achimenes patens;pladnjevec;krožniček
Achimenes sp.;pladnjevec;krožniček
Achimenes warszewicziana;pladnjevec;krožniček
Achimenes x hybrida;pladnjevec;krožniček,križanec
Achnatherum calamagrostis;navadna sršica;
Acinos alpinus;alpski šetrajnik;
Aconitum degenii subsp. paniculatum;latasta preobjeda;
Aconitum lycoctonum subsp. lycoctonum;ozkočeladasta preobjeda;
Aconitum lycoctonum subsp. ranunculifolium;zlatična preobjeda;
Aconitum lycoctonum subsp. vulparia;navadna preobjeda;
Aconitum napellus;repičasta preobjeda;
Aconitum orientale;orientalska preobjeda;
Aconitum sp.;preobjeda;
Aconitum variegatum;pisani omej;
Aconitum vitosanum;vitoška preobjeda;
Aconitum x cammarum 'Bicolor';preobjeda;križanec
Aconitum x hebegynum;preobjeda;križanec
Acorus calamus;pravi kolmež;
Actaea spicata;navadna črnoga;
Actinidia chinensis;kivi;
Actinidia kolomikta;aktinidija;
Actinidia melanandra;aktinidija;
Adansonia gregorii;baobab;
Adansonia sp.;baobab;
Adenium obesum;puščavska roža;
Adenophora liliifolia;navadna obročnica;
Adenostyles alliariae;dlakavai lepen;
Adenostyles glabra;goli lepen;
Adenostyles sp.;lepen;
Adiantum hispidulum;viličasti venerini lasci;
Adiantum raddianum;venerini laski;
Adonis aestivalis subsp. aestivalis;poletni zajčji mak;
Adonis annua;zajčji mak;
Adonis annua subsp. cupaniana;jesenski zajčji mak;
Adonis flammea subsp. flammea;žareči zajčji mak;
Adonis vernalis;pomladanski zajčji mak;
Adoxa moschatellina;navadna pižmica;
Adromischus rotundifolius;kratkostebelnik;
Aechmaea sp.;ehmeja;
Aechmea fasciata;pasasta ehmeja;
Aechmea lueddemanniana;modrikasta ehmeja;
Aegilops ventricosa;gluhi oves;
Aegopodium podagraria;navadna regačica;
Aeonium canariense;kanarski eonij;
Aeonium decorum;lepi eonij;
Aeschynanthus pulcher;krasna sramovka;
Aeschynanthus speciosus;sijajna sramovka;
Aesculus parviflora;grmasti divji kostanj;
Aethionema saxatile;navadna kamnica;
Agapanthus africanus;afriška modra lilija;
Agapanthus africanus 'Purple cloud';afriška modra lilija;
Agapanthus africanus 'Snowy Owl';bela afriška lilija;
Agapanthus praecox ssp. orientalis;vzhodnjaška modra lilija;
Agapanthus umbellatus;modra afriška lilija;
Agave americana;ameriška agava;
Agave ferdinandi-regis;Ferdinandova agava;
Agave ferox;divja agava;
Agave filifera;nitasta agava;
Agave parviflora;drodnocvetna agava;
Agave picta;pisana agava;
Agave utahensis;utaška agava;
Agave victoriae-reginae;Viktorijina agava;
Ageratum houstonianum;navadni nepostarnik;
Aglaonema modestum;nitasti betičnik;
Agrimonia eupatoria;navadni repik;
Agrimonia procera;vitki repik;
Agrostemma githago;navadni kokalj;
Agrostis capillaris;lasasta šopulja;
Agrostis sp.;šopulja;
Agrostis stolonifera;plazeča šopulja;
Ailanthus glandulosa;veliki pajesen;
Ajuga genevensis;dlakavi skrečnik;
Ajuga reptans;plazeči skrečnik;
Alcea rosea;rožlin;
Alcea rugosa;sleznik;
Alchemilla micans;vitka plahtica;
Alchemilla speciosa;lepa plahtica;
Alchemilla velebitica;velebitska plahtica;
Alchemilla vetteri;Vetterjeva plahtica;
Alchemilla vulgaris;ostrokrpa plahtica;
Alisma plantago aquatica;trpotčasti porečnik;
Alliaria petiolata;česnovka;
Allium albidum;belkasti luk;
Allium angulosum;robati luk;
Allium ascalonicum;šalotka;
Allium carinatum subsp. carinatum;gredljasti luk;
Allium carinatum subsp. pulchellum;lepi luk;
Allium cepa;čebula;
Allium chamaemoly;luk;
Allium cyaneum;temnomodri luk;
Allium ericetorum;bledi luk;
Allium ericetorum;rumenkasti luk;
Allium fistulosum;zimska čebula;
Allium flavum;rumeni luk;
Allium giganteum;orjaški luk;
Allium moly var. bulbilliferum;zlati luk;
Allium neapolitanum;neapeljski luk;
Allium obliquum;nesimetrični luk;
Allium ochroleucum;bledi luk;
Allium odorum;vonjavi luk;
Allium paradoxum;nenavadni luk;
Allium porrum;por;
Allium pyrenaicum;pirenejski luk;
Allium sativum;česen;
Allium saxatile;kamni luk;
Allium schoenoprasum subsp. alpinum;drobnjak;
Allium schoenoprasum subsp. schoenoprasum;drobnjak;
Allium senescens;gorski luk;
Allium senescens f. alba;gorski luk;
Allium sp.;luk;
