Biscutella laevigata
Dianthus seguieri
Euphorbia verrucosa
Gentianopsis ciliata
Knautia dipsacifolia
Ophrys fuciflora
Orchis pallens
Polygala chamaebuxus
Rhododendron ferrugineum
Rhododendron hirsutum
Soldanella carpatica
Thesium pyrenaicum
Crocosmia aurea
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Gaillardia pulchella
Calyptocarpus vialis
Oxalis violacea
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Callirhoe involucrata
Ruellia caroliniensis
Coreopsis lanceolata
Albizia julibrissin
Mimosa strigillosa
Trachelospermum jasminoides
Castilleja indivisa
Liatris punctata
Melampodium leucanthum
Sisyrinchium angustifolium
Argemone albiflora
Plectocephalus americanus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Sagittaria platyphylla
Alternanthera philoxeroides
Froelichia floridana
Malvastrum coromandelianum
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Phyla nodiflora
Eucnide bartonioides
Solanum carolinense
Teucrium cubense
Liatris squarrosa
Bidens frondosa
Arisaema triphyllum
Artemisia tridentata
Asarum canadense
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Cornus florida
Crataegus mollis
Crataegus succulenta
Cuscuta gronovii
Cypripedium acaule
Cypripedium parviflorum
Cypripedium reginae
Epifagus virginiana
Epigaea repens
Conoclinium coelestinum
Gelsemium sempervirens
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Hypericum frondosum
Impatiens pallida
Lewisia rediviva
Lilium grayi
Linum medium
Lobelia cardinalis
Mitchella repens
Monarda media
Panax trifolius
Pedicularis canadensis
Phoradendron leucarpum
Polygala lutea
Polygaloides paucifolia
Prunus americana
Rhus glabra
Sabatia angularis
Salix discolor
Sambucus canadensis
Scutellaria integrifolia
Ipomoea cordatotriloba
