Achillea ptarmica
Aconitum napellus
Actaea spicata
Adonis vernalis
Adoxa moschatellina
Aegonychon purpurocaeruleum
Aethusa cynapium
Ajuga genevensis
Alchemilla vulgaris
Alisma plantago-aquatica
Allium angulosum
Allium vineale
Alyssum alyssoides
Alyssum montanum
Anacamptis morio
Anagallis arvensis
Andromeda polifolia
Anemone hepatica
Anemone narcissiflora
Anemone nemorosa
Anemone ranunculoides
Anemone sylvestris
Angelica archangelica
Antennaria dioica
Anthemis arvensis
Anthericum liliago
Anthericum ramosum
Anthriscus sylvestris
Aphanes arvensis
Arabis alpina
Arabis hirsuta
Arctium lappa
Arenaria serpyllifolia
Potentilla anserina
Aristolochia clematitis
Armeria maritima
Arnica montana
Arum maculatum
Astragalus glycyphyllos
Astrantia major
Atriplex patula
Atriplex prostrata
Ballota nigra
Bidens tripartita
Biscutella laevigata
Bistorta officinalis
Blitum bonus-henricus
Bryonia dioica
Buddleja davidii
Buglossoides arvensis
Buphthalmum salicifolium
Bupleurum falcatum
Butomus umbellatus
Calla palustris
Camelina sativa
Campanula patula
Campanula persicifolia
Campanula rotundifolia
Cardamine amara
Carduus acanthoides
Carduus nutans
Carlina acaulis
Centaurea montana
Centaurea scabiosa
Centaurium erythraea
Cephalanthera damasonium
Cephalanthera rubra
Cerastium arvense
Cerastium fontanum
Cerastium semidecandrum
Ceratophyllum demersum
Chaerophyllum bulbosum
Chaerophyllum temulum
Chimaphila umbellata
Chlorophytum comosum
Chrysosplenium alternifolium
Circaea alpina
Circaea lutetiana
Cirsium acaule
Cirsium oleraceum
Cirsium palustre
Clematis alpina
Clematis vitalba
Clinopodium acinos
Clinopodium vulgare
Colchicum autumnale
Comarum palustre
Consolida regalis
Conyza canadensis
Cornus sanguinea
Corydalis cava
Corydalis solida
Cotoneaster integerrimus
Crataegus laevigata
Crepis biennis
Crepis capillaris
Crepis paludosa
Crocus vernus
Cuscuta epithymum
Cypripedium calceolus
Cytisus nigricans
Cytisus scoparius
Dactylorhiza incarnata
Dactylorhiza maculata
Dactylorhiza majalis
Daphne cneorum
Daphne striata
Descurainia sophia
Dianthus carthusianorum
Dianthus deltoides
Dianthus gratianopolitanus
Dianthus seguieri
Dianthus superbus
Digitalis lutea
Diplotaxis muralis
Diplotaxis tenuifolia
Dipsacus fullonum
Draba aizoides
Drosera anglica
Drosera rotundifolia
Elodea canadensis
Epilobium hirsutum
Epilobium montanum
Epilobium parviflorum
Epilobium roseum
Epipactis helleborine
Epipactis palustris
Erica tetralix
Draba verna
Eryngium campestre
Erysimum cheiranthoides
Euonymus europaeus
Euphorbia cyparissias
Euphorbia dulcis
Euphorbia exigua
Euphorbia palustris
Euphorbia verrucosa
Euphrasia rostkoviana
Euphrasia stricta
Filago minima
Filipendula vulgaris
Forsythia suspensa
Fragaria moschata
Fragaria viridis
Fritillaria meleagris
Fumaria officinalis
Gagea lutea
Gagea pratensis
Gagea villosa
Galeopsis tetrahit
Galinsoga parviflora
Galinsoga quadriradiata
Galium mollugo
Galium palustre
Genista germanica
Genista pilosa
Genista sagittalis
Gentiana pneumonanthe
Gentiana verna
Gentianopsis ciliata
Geranium dissectum
Geranium molle
Geranium palustre
Geranium phaeum
Geranium pratense
Geranium robertianum
Geum rivale
Globularia vulgaris
Gnaphalium sylvaticum
Gratiola officinalis
Gymnadenia conopsea
Gypsophila muralis
Helianthemum nummularium
Heracleum sphondylium
Herniaria glabra
Hesperis matronalis
Hieracium murorum
Hippuris vulgaris
Holosteum umbellatum
Hydrocharis morsus-ranae
Hydrocotyle vulgaris
Hylotelephium telephium
Hypericum calycinum
Hypericum hirsutum
Hypericum humifusum
Hypericum maculatum
Hypericum montanum
Hypericum pulchrum
Hypericum tetrapterum
Impatiens glandulifera
Impatiens parviflora
Inula salicina
Iris pseudacorus
Jacobaea erucifolia
Jasione montana
Knautia arvensis
Knautia dipsacifolia
Laburnum anagyroides
Lactuca serriola
Lathraea squamaria
Lathyrus linifolius
Lathyrus pratensis
Lathyrus sylvestris
Lathyrus tuberosus
Lathyrus vernus
Lavandula angustifolia
Lemna gibba
Lemna minor
Lemna trisulca
Leontodon hispidus
Lepidium campestre
Lepidium draba
Leucojum vernum
Ligustrum vulgare
Linaria vulgaris
Linum catharticum
Lotus maritimus
Lotus pedunculatus
Lunaria rediviva
Lychnis flos-cuculi
Lycopus europaeus
Lysimachia europaea
Lysimachia punctata
Lysimachia thyrsiflora
Lysimachia vulgaris
Lythrum salicaria
Maianthemum bifolium
Malva alcea
Malva moschata
Matricaria discoidea
Medicago falcata
Melampyrum arvense
Melampyrum pratense
Melampyrum sylvaticum
Mercurialis annua
Mercurialis perennis
Moehringia trinervia
Moneses uniflora
Monotropa hypopitys
Muscari botryoides
Mycelis muralis
Myosoton aquaticum
Myriophyllum spicatum
Neottia nidus-avis
Neslia paniculata
Nuphar lutea
Nuphar pumila
Oenanthe aquatica
Oenothera parviflora
Ophrys fuciflora
Ophrys insectifera
Ophrys sphegodes
Orchis mascula
Orchis militaris
Orchis pallens
Ornithogalum umbellatum
Orobanche minor
Orobanche ramosa
Orthilia secunda
Oxalis corniculata
Papaver argemone
Paris quadrifolia
Parnassia palustris
Pedicularis palustris
Pedicularis sylvatica
Persicaria lapathifolia
Persicaria maculosa
Petasites albus
Petasites hybridus
Peucedanum oreoselinum
Peucedanum palustre
Phyteuma spicatum
Picris hieracioides
Pilosella officinarum
Pimpinella major
Pimpinella saxifraga
Pinguicula alpina
Pinguicula vulgaris
Platanthera bifolia
Platanthera chlorantha
Polygala amara
Polygala chamaebuxus
Polygala comosa
Polygonum aviculare
Potamogeton crispus
Potamogeton natans
Potentilla argentea
Potentilla erecta
Potentilla pusilla
Potentilla reptans
Potentilla sterilis
Prenanthes purpurea
Primula farinosa
Primula veris
Prunella grandiflora
Pulsatilla alpina
Pulsatilla patens
Pulsatilla pratensis
Pulsatilla vernalis
Pulsatilla vulgaris
Pyrola media
Pyrola minor
