Buphthalmum salicifolium
Dianthus seguieri
Euphorbia verrucosa
Globularia vulgaris
Ophrys fuciflora
Polygala chamaebuxus
Potentilla sterilis
Scutellaria minor
Thesium pyrenaicum
Crocosmia aurea
Argemone mexicana
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Gaillardia pulchella
Calyptocarpus vialis
Tulipa sylvestris
Eranthis hyemalis
Oxalis violacea
Geranium carolinianum
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Pseudofumaria lutea
Nymphaea caerulea
Jacaranda mimosifolia
Callirhoe involucrata
Ruellia caroliniensis
Mimosa strigillosa
Trachelospermum jasminoides
Castilleja indivisa
Phlox drummondii
Eustoma exaltatum
Liatris punctata
Melampodium leucanthum
Sisyrinchium angustifolium
Argemone albiflora
Plectocephalus americanus
Helianthus maximiliani
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Tradescantia virginiana
Physostegia virginiana
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Cephalanthus occidentalis
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Sagittaria latifolia
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Bacopa monnieri
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Solanum carolinense
Teucrium cubense
Trifolium incarnatum
Liatris squarrosa
Bidens frondosa
Ambrosia trifida
Chelone lyonii
Anaphalis margaritacea
Arisaema triphyllum
Artemisia tridentata
Asarum canadense
Moricandia arvensis
Chamaecrista fasciculata
Celastrus scandens
Chamaelirium luteum
Crataegus succulenta
Vincetoxicum nigrum
Cypripedium acaule
Dicentra cucullaria
Epifagus virginiana
Epigaea repens
Eschscholzia californica
Conoclinium coelestinum
Gaultheria procumbens
Gelsemium sempervirens
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Hamamelis virginiana
Heuchera sanguinea
Hypericum frondosum
Impatiens pallida
Iris versicolor
Kalmia angustifolia
Kalmia latifolia
Lewisia rediviva
Lilium grayi
Linum medium
Lobelia cardinalis
Menispermum canadense
Mitchella repens
Monarda media
Nymphaea odorata
Panax trifolius
Parthenocissus quinquefolia
Passiflora incarnata
Pedicularis canadensis
Phoradendron leucarpum
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Sabatia angularis
Salix discolor
Sanguisorba canadensis
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Caesalpinia pulcherrima
Doronicum austriacum
Symphyotrichum laeve
Symphyotrichum novi-belgii
Symphyotrichum novae-angliae
Symphyotrichum lanceolatum
Clematis crispa
Paeonia mascula
Callianthemum coriandrifolium
Callianthemum anemonoides
Callianthemum angustifolium
Actaea europaea
Consolida orientalis
Delphinium elatum
Delphinium oxysepalum
Amorpha canescens
Youngia japonica
Dermatophyllum secundiflorum
Prunus caroliniana
Anemone berlandieri
Melampyrum barbatum
Nemophila menziesii
Oenothera laciniata
Senecio ampullaceus
Salvia lyrata
Phlox pilosa
Phlox amplifolia
Phlox divaricata
Phlox glaberrima
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Sisyrinchium bellum
Cirsium horridulum
Gentianella germanica
Cirsium eriophorum
Galeopsis angustifolia
Hymenopappus scabiosaeus
Stratiotes aloides
Mazus pumilus
Bergenia crassifolia
Verbena brasiliensis
Verbena halei
Sabatia campestris
Romneya coulteri
Commelina erecta
Neptunia plena
Indigofera miniata
Strophostyles helvola
Phacelia tanacetifolia
Phyteuma nigrum
Globularia punctata
Oenothera lindheimeri
Leucophyllum frutescens
Chrysosplenium oppositifolium
Himantoglossum hircinum
Ipomoea violacea
Nepeta nepetella
Zeuxine strateumatica
Balsamorhiza sagittata
Euryops pectinatus
Hydrangea involucrata
Ceanothus thyrsiflorus
Kaempferia rotunda
Begonia cucullata
Plectranthus fruticosus
Echium candicans
Clivia miniata
Limbarda crithmoides
Oenothera rosea
Symphyotrichum ericoides
Aubrieta deltoidea
Crassocephalum crepidioides
Cattleya trianae
Claytonia perfoliata
Lobelia siphilitica
Cosmos sulphureus
Petunia integrifolia
Alstroemeria pelegrina
Vernonia arkansana
Eutrochium maculatum
Ipomoea pandurata
Centella asiatica
Eriophyllum lanatum
Gynostemma pentaphyllum
Spathoglottis plicata
Dendrobium kingianum
Stevia rebaudiana
Gilia tricolor
Lavandula dentata
Puschkinia scilloides
Sesbania grandiflora
Erythronium grandiflorum
Camellia sasanqua
Ramonda serbica
Iris japonica
Brugmansia sanguinea
Hymenocallis littoralis
Garrya elliptica
Aquilegia atrata
Kalanchoe crenata
Camassia quamash
Lantana camara
Dietes bicolor
Magnolia Ã— soulangeana
Erica carnea
Nepeta racemosa
Hydrangea macrophylla
Ornithogalum dubium
Nemophila maculata
Dahlia Ã— pinnata
Freesia laxa
Dianella tasmanica
